#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 90 kK
# SED: Wm-Basic (Pauldrach et al 2002)
# Plane-parallel geometry
#
#12+log(O/H) Teff log(U) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 He2_4686
7.7 30000 -3.50 0.9163 0.0000 0.3185 0.0074 0.0012 0.0030 0.0000
7.7 32500 -3.50 1.3975 0.0000 0.4238 0.0163 0.0040 0.0104 0.0000
7.7 35000 -3.50 1.8086 0.0046 0.4485 0.0295 0.0109 0.0281 0.0000
7.7 37500 -3.50 2.0094 0.0246 0.4130 0.0422 0.0179 0.0458 0.0000
7.7 40000 -3.50 2.2511 0.1133 0.3711 0.0598 0.0214 0.0548 0.0000
7.7 45000 -3.50 2.3914 0.1734 0.3563 0.0686 0.0222 0.0567 0.0000
7.7 50000 -3.50 2.3758 0.3063 0.3650 0.0722 0.0226 0.0578 0.0000
7.7 55000 -3.50 2.4649 0.3463 0.3565 0.0771 0.0230 0.0589 0.0000
7.7 60000 -3.50 2.3423 0.5026 0.4086 0.0717 0.0228 0.0583 0.0012
7.7 30000 -3.25 1.0366 0.0000 0.3050 0.0123 0.0012 0.0031 0.0000
7.7 32500 -3.25 1.6286 0.0011 0.3957 0.0260 0.0042 0.0108 0.0000
7.7 35000 -3.25 2.1087 0.0131 0.3966 0.0439 0.0114 0.0294 0.0000
7.7 37500 -3.25 2.3111 0.0735 0.3431 0.0595 0.0189 0.0484 0.0000
7.7 40000 -3.25 2.4453 0.3191 0.2893 0.0789 0.0215 0.0551 0.0000
7.7 45000 -3.25 2.5181 0.4767 0.2720 0.0881 0.0221 0.0565 0.0000
7.7 50000 -3.25 2.3422 0.7628 0.2788 0.0914 0.0223 0.0571 0.0000
7.7 55000 -3.25 2.4016 0.8582 0.2704 0.0964 0.0226 0.0579 0.0000
7.7 60000 -3.25 2.1497 1.1273 0.3161 0.0914 0.0223 0.0569 0.0014
7.7 30000 -3.00 1.1244 0.0000 0.2732 0.0189 0.0013 0.0033 0.0000
7.7 32500 -3.00 1.8557 0.0025 0.3455 0.0386 0.0043 0.0112 0.0000
7.7 35000 -3.00 2.4196 0.0358 0.3283 0.0612 0.0119 0.0305 0.0000
7.7 37500 -3.00 2.5536 0.1995 0.2673 0.0782 0.0197 0.0503 0.0000
7.7 40000 -3.00 2.3945 0.7498 0.2138 0.0973 0.0216 0.0552 0.0000
7.7 45000 -3.00 2.3432 1.0464 0.1994 0.1062 0.0220 0.0562 0.0000
7.7 50000 -3.00 2.0047 1.4894 0.2053 0.1091 0.0221 0.0565 0.0000
7.7 55000 -3.00 2.0286 1.6467 0.1993 0.1140 0.0222 0.0570 0.0000
7.7 60000 -3.00 1.7137 1.9760 0.2360 0.1095 0.0218 0.0558 0.0015
7.7 30000 -2.75 1.1685 0.0000 0.2264 0.0265 0.0013 0.0035 0.0000
7.7 32500 -2.75 2.0501 0.0061 0.2793 0.0526 0.0046 0.0119 0.0000
7.7 35000 -2.75 2.7091 0.0902 0.2548 0.0791 0.0125 0.0320 0.0000
7.7 37500 -2.75 2.6459 0.4628 0.1976 0.0958 0.0203 0.0519 0.0000
7.7 40000 -2.75 2.0768 1.4035 0.1527 0.1135 0.0216 0.0552 0.0000
7.7 45000 -2.75 1.9235 1.8255 0.1427 0.1218 0.0219 0.0560 0.0000
7.7 50000 -2.75 1.5257 2.3397 0.1479 0.1239 0.0219 0.0561 0.0000
7.7 55000 -2.75 1.5309 2.5517 0.1446 0.1288 0.0220 0.0564 0.0000
7.7 60000 -2.75 1.2444 2.8708 0.1721 0.1237 0.0215 0.0550 0.0016
7.7 30000 -2.50 1.1744 0.0000 0.1741 0.0339 0.0015 0.0038 0.0000
7.7 32500 -2.50 2.1783 0.0141 0.2098 0.0653 0.0050 0.0129 0.0000
7.7 35000 -2.50 2.9061 0.2064 0.1868 0.0954 0.0133 0.0342 0.0000
7.7 37500 -2.50 2.5090 0.8989 0.1399 0.1109 0.0207 0.0530 0.0000
7.7 40000 -2.50 1.6293 2.1545 0.1075 0.1267 0.0216 0.0552 0.0000
7.7 45000 -2.50 1.4417 2.6550 0.1013 0.1343 0.0218 0.0558 0.0000
7.7 50000 -2.50 1.0881 3.1692 0.1060 0.1346 0.0217 0.0557 0.0000
7.7 55000 -2.50 1.0870 3.4319 0.1046 0.1393 0.0218 0.0560 0.0000
7.7 60000 -2.50 0.8669 3.7160 0.1244 0.1322 0.0213 0.0544 0.0017
7.7 30000 -2.25 1.1528 0.0014 0.1258 0.0398 0.0016 0.0043 0.0000
7.7 32500 -2.25 2.2411 0.0315 0.1495 0.0753 0.0056 0.0145 0.0000
7.7 35000 -2.25 2.9434 0.4156 0.1319 0.1084 0.0145 0.0372 0.0000
7.7 37500 -2.25 2.1702 1.4638 0.0969 0.1227 0.0210 0.0538 0.0000
7.7 40000 -2.25 1.2034 2.8755 0.0760 0.1366 0.0215 0.0552 0.0000
7.7 45000 -2.25 1.0366 3.4308 0.0727 0.1432 0.0217 0.0557 0.0000
7.7 50000 -2.25 0.7622 3.9247 0.0769 0.1400 0.0216 0.0554 0.0010
7.7 55000 -2.25 0.7600 4.2403 0.0765 0.1444 0.0217 0.0558 0.0000
7.7 60000 -2.25 0.6030 4.4994 0.0905 0.1334 0.0211 0.0540 0.0020
7.7 30000 -2.00 1.1136 0.0031 0.0871 0.0436 0.0020 0.0051 0.0000
7.7 32500 -2.00 2.2478 0.0670 0.1035 0.0822 0.0066 0.0170 0.0000
7.7 35000 -2.00 2.7846 0.7414 0.0913 0.1180 0.0160 0.0412 0.0000
7.7 37500 -2.00 1.7366 2.0671 0.0669 0.1313 0.0212 0.0543 0.0000
7.7 40000 -2.00 0.8706 3.5131 0.0548 0.1427 0.0215 0.0551 0.0000
7.7 45000 -2.00 0.7420 4.1250 0.0535 0.1475 0.0217 0.0556 0.0000
7.7 50000 -2.00 0.5411 4.6101 0.0571 0.1392 0.0215 0.0552 0.0012
7.7 55000 -2.00 0.5394 4.9883 0.0574 0.1429 0.0216 0.0556 0.0000
7.7 60000 -2.00 0.4296 5.2375 0.0672 0.1272 0.0209 0.0536 0.0024
7.7 30000 -1.75 1.0656 0.0070 0.0588 0.0452 0.0024 0.0063 0.0000
7.7 32500 -1.75 2.2036 0.1347 0.0710 0.0864 0.0078 0.0202 0.0000
7.7 35000 -1.75 2.4554 1.1770 0.0631 0.1247 0.0177 0.0457 0.0000
7.7 37500 -1.75 1.3230 2.6356 0.0471 0.1371 0.0212 0.0545 0.0000
7.7 40000 -1.75 0.6338 4.0738 0.0408 0.1448 0.0214 0.0551 0.0000
