#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 60 kK
# SED: WM-Basic (Pauldrach et al 2001 (30-60 kK)
#spherical geometry
#
12+log(O/H) T_eff log(U) ArII_7m ArV_8m	ArIII_9m SIV_10m NeII_12m ArV_13m NeV_14m NeIII_15m SIII_18m NeV_24m OIV_26m SIII_33m OIII_52m NIII_57m OIII_88m NII_122m NII_205m
7.4 32500.00 -3.74 0.0101 0.0000 0.0000 0.0000 0.0270 0.0000 0.0000 0.0000 0.0059 0.0000 0.0000 0.0090 0.0000 0.0000 0.0000 0.0019 0.0000
7.4 32500.00 -3.51 0.0099 0.0000 0.0013 0.0000 0.0291 0.0000 0.0000 0.0000 0.0116 0.0000 0.0000 0.0174 0.0000 0.0000 0.0000 0.0020 0.0000
7.4 32500.00 -3.28 0.0099 0.0000 0.0015 0.0000 0.0301 0.0000 0.0000 0.0000 0.0182 0.0000 0.0000 0.0270 0.0000 0.0000 0.0000 0.0020 0.0000
7.4 32500.00 -3.05 0.0098 0.0000 0.0017 0.0000 0.0308 0.0000 0.0000 0.0000 0.0260 0.0000 0.0000 0.0381 0.0000 0.0000 0.0000 0.0021 0.0000
7.4 32500.00 -2.79 0.0094 0.0000 0.0021 0.0000 0.0311 0.0000 0.0000 0.0000 0.0340 0.0000 0.0000 0.0495 0.0020 0.0000 0.0025 0.0020 0.0000
7.4 32500.00 -2.55 0.0087 0.0000 0.0026 0.0000 0.0309 0.0000 0.0000 0.0000 0.0392 0.0000 0.0000 0.0569 0.0056 0.0014 0.0069 0.0019 0.0000
7.4 32500.00 -2.29 0.0079 0.0000 0.0033 0.0000 0.0304 0.0000 0.0000 0.0000 0.0428 0.0000 0.0000 0.0617 0.0117 0.0021 0.0144 0.0018 0.0000
7.4 32500.00 -2.04 0.0068 0.0000 0.0040 0.0000 0.0296 0.0000 0.0000 0.0012 0.0451 0.0000 0.0000 0.0648 0.0198 0.0030 0.0242 0.0016 0.0000
7.4 32500.00 -1.79 0.0057 0.0000 0.0048 0.0011 0.0285 0.0000 0.0000 0.0021 0.0466 0.0000 0.0000 0.0665 0.0294 0.0039 0.0358 0.0014 0.0000
7.4 32500.00 -1.54 0.0044 0.0000 0.0057 0.0021 0.0272 0.0000 0.0000 0.0034 0.0476 0.0000 0.0000 0.0673 0.0410 0.0050 0.0496 0.0012 0.0000
7.4 35000.00 -3.99 0.0105 0.0000 0.0019 0.0000 0.0308 0.0000 0.0000 0.0000 0.0070 0.0000 0.0000 0.0107 0.0000 0.0000 0.0000 0.0021 0.0000
7.4 35000.00 -3.74 0.0100 0.0000 0.0022 0.0000 0.0319 0.0000 0.0000 0.0000 0.0112 0.0000 0.0000 0.0169 0.0000 0.0000 0.0000 0.0021 0.0000
7.4 35000.00 -3.51 0.0084 0.0000 0.0039 0.0000 0.0339 0.0000 0.0000 0.0000 0.0195 0.0000 0.0000 0.0290 0.0000 0.0000 0.0000 0.0022 0.0000
7.4 35000.00 -3.27 0.0079 0.0000 0.0046 0.0000 0.0348 0.0000 0.0000 0.0000 0.0286 0.0000 0.0000 0.0419 0.0021 0.0000 0.0026 0.0022 0.0000
7.4 35000.00 -3.03 0.0091 0.0000 0.0035 0.0000 0.0347 0.0000 0.0000 0.0000 0.0353 0.0000 0.0000 0.0514 0.0039 0.0000 0.0048 0.0022 0.0000
7.4 35000.00 -2.79 0.0064 0.0000 0.0063 0.0000 0.0359 0.0000 0.0000 0.0011 0.0464 0.0000 0.0000 0.0665 0.0187 0.0034 0.0230 0.0019 0.0000
7.4 35000.00 -2.55 0.0053 0.0000 0.0075 0.0000 0.0356 0.0000 0.0000 0.0024 0.0524 0.0000 0.0000 0.0745 0.0373 0.0050 0.0457 0.0016 0.0000
7.4 35000.00 -2.29 0.0039 0.0000 0.0087 0.0020 0.0345 0.0000 0.0000 0.0046 0.0566 0.0000 0.0000 0.0799 0.0588 0.0066 0.0718 0.0013 0.0000
7.4 35000.00 -2.04 0.0026 0.0000 0.0099 0.0040 0.0329 0.0000 0.0000 0.0075 0.0594 0.0000 0.0000 0.0834 0.0814 0.0082 0.0988 0.0010 0.0000
7.4 35000.00 -1.79 0.0015 0.0000 0.0109 0.0072 0.0308 0.0000 0.0000 0.0110 0.0613 0.0000 0.0000 0.0855 0.1038 0.0095 0.1251 0.0000 0.0000
7.4 35000.00 -1.54 0.0000 0.0000 0.0114 0.0119 0.0283 0.0000 0.0000 0.0152 0.0625 0.0000 0.0000 0.0866 0.1253 0.0106 0.1499 0.0000 0.0000
