#Cloudy 17.00 models results grids
# O/H: 8.1 - 9.0, log U: -4.0 - -1.0, alpha_OX = -2.0 - -1.0
# SED: AGN doubled peak power law, stopping criterion = 2% free electrons w/ dust grains
#plane-parallel geometry
12+log(O/H) a_ox log(U) ArII_7m ArV_8m	ArIII_9m SIV_10m NeII_12m ArV_13m NeV_14m NeIII_15m SIII_18m NeV_24m OIV_26m SIII_33m OIII_52m NIII_57m OIII_88m NII_122m NII_205m
8.1 -1.00 -2.75 0.0950 0.0085 0.0667 0.3379 0.2901 0.0134 0.0770 0.4088 0.4354 0.0872 0.8651 0.6228 0.4392 0.0772 0.2632 0.0264 0.0100
8.1 -1.00 -2.50 0.0913 0.0194 0.0576 0.4288 0.2709 0.0302 0.2228 0.3913 0.3892 0.2550 1.3425 0.5640 0.3980 0.0720 0.2385 0.0261 0.0098
8.1 -1.00 -2.25 0.0910 0.0326 0.0495 0.3810 0.2643 0.0504 0.4258 0.3787 0.3423 0.4924 1.6462 0.5090 0.3189 0.0579 0.1912 0.0258 0.0096
8.1 -1.00 -2.00 0.0954 0.0405 0.0434 0.2443 0.2796 0.0619 0.5689 0.3763 0.3153 0.6648 1.6057 0.4815 0.2243 0.0405 0.1348 0.0258 0.0093
8.1 -1.00 -1.75 0.1053 0.0352 0.0397 0.1347 0.3197 0.0533 0.5620 0.3820 0.3176 0.6629 1.2304 0.4922 0.1381 0.0256 0.0836 0.0260 0.0091
8.1 -1.00 -1.50 0.1263 0.0206 0.0380 0.0761 0.4170 0.0310 0.4333 0.3962 0.3536 0.5087 0.7483 0.5488 0.0769 0.0153 0.0473 0.0264 0.0089
8.1 -1.00 -1.25 0.1564 0.0094 0.0378 0.0499 0.5445 0.0143 0.2677 0.4052 0.4089 0.3114 0.3866 0.6263 0.0428 0.0093 0.0271 0.0266 0.0087
8.1 -1.00 -1.00 0.1966 0.0044 0.0379 0.0391 0.6824 0.0067 0.1386 0.3989 0.4636 0.1609 0.1864 0.6893 0.0270 0.0063 0.0178 0.0267 0.0084
8.4 -2.00 -4.00 0.0473 0.0000 0.0659 0.0000 0.3027 0.0000 0.0000 0.1000 0.1187 0.0000 0.0000 0.1287 0.0210 0.0045 0.0123 0.0295 0.0048
8.4 -2.00 -3.75 0.0349 0.0000 0.0735 0.0013 0.2622 0.0000 0.0000 0.1395 0.1721 0.0000 0.0000 0.1820 0.0599 0.0127 0.0344 0.0281 0.0044
8.4 -2.00 -3.50 0.0247 0.0000 0.0803 0.0045 0.2191 0.0000 0.0000 0.1887 0.2380 0.0000 0.0013 0.2478 0.1588 0.0331 0.0909 0.0257 0.0039
8.4 -2.00 -3.25 0.0167 0.0000 0.0856 0.0146 0.1748 0.0000 0.0000 0.2439 0.3069 0.0000 0.0064 0.3164 0.3605 0.0723 0.2056 0.0216 0.0033
