#Cloudy 17.00 models results grids
# O/H: 8.1 - 9.0, log U: -4.0 - -1.0, alpha_OX = -2.0 - -1.0
# SED: AGN doubled peak power law, stopping criterion = 2% free electrons without dust grains
#plane-parallel geometry
12+log(O/H) a_ox log(U) ArII_7m ArV_8m	ArIII_9m SIV_10m NeII_12m ArV_13m NeV_14m NeIII_15m SIII_18m NeV_24m OIV_26m SIII_33m OIII_52m NIII_57m OIII_88m NII_122m NII_205m
8.1 -1.20 -1.00 0.0966 0.0277 0.0126 0.3226 0.3471 0.0421 0.3103 0.3045 0.1960 0.3460 1.0665 0.3023 0.4441 0.0129 0.2048 0.0408 0.0118
8.1 -1.00 -4.00 0.1334 0.0000 0.0715 0.0035 0.4565 0.0000 0.0000 0.4229 0.3391 0.0000 0.0000 0.5385 0.0266 0.0041 0.0167 0.0303 0.0088
8.1 -1.00 -3.75 0.1343 0.0000 0.0737 0.0098 0.4494 0.0000 0.0000 0.4309 0.4089 0.0000 0.0047 0.6391 0.0760 0.0114 0.0464 0.0300 0.0092
8.1 -1.00 -3.50 0.1334 0.0000 0.0757 0.0293 0.4446 0.0000 0.0000 0.4365 0.4626 0.0000 0.0317 0.7089 0.1832 0.0280 0.1105 0.0297 0.0100
8.1 -1.00 -3.25 0.1321 0.0000 0.0759 0.0829 0.4453 0.0013 0.0028 0.4426 0.4927 0.0032 0.1420 0.7424 0.3155 0.0506 0.1894 0.0298 0.0110
8.1 -1.00 -3.00 0.1273 0.0029 0.0718 0.1950 0.4266 0.0046 0.0175 0.4449 0.4881 0.0196 0.4082 0.7261 0.4016 0.0677 0.2407 0.0307 0.0120
8.1 -1.00 -2.75 0.1205 0.0091 0.0627 0.3457 0.3927 0.0143 0.0779 0.4385 0.4493 0.0883 0.8225 0.6672 0.4244 0.0742 0.2541 0.0322 0.0128
8.1 -1.00 -2.50 0.1132 0.0208 0.0520 0.4381 0.3532 0.0323 0.2226 0.4251 0.3879 0.2552 1.2532 0.5829 0.4063 0.0706 0.2427 0.0338 0.0133
8.1 -1.00 -2.25 0.1068 0.0351 0.0421 0.3808 0.3194 0.0540 0.4134 0.4102 0.3236 0.4795 1.5361 0.4971 0.3722 0.0594 0.2210 0.0355 0.0137
8.1 -1.00 -2.00 0.1030 0.0453 0.0334 0.2444 0.3057 0.0688 0.5401 0.3942 0.2750 0.6347 1.5771 0.4318 0.3366 0.0443 0.1974 0.0377 0.0141
8.1 -1.00 -1.75 0.1016 0.0432 0.0262 0.1552 0.3097 0.0649 0.5430 0.3726 0.2481 0.6453 1.4148 0.3932 0.3090 0.0298 0.1772 0.0407 0.0144
8.1 -1.00 -1.50 0.1066 0.0306 0.0209 0.1282 0.3493 0.0456 0.4703 0.3502 0.2431 0.5452 1.1989 0.3841 0.2924 0.0187 0.1616 0.0439 0.0143
8.1 -1.00 -1.25 0.1197 0.0225 0.0178 0.1494 0.4154 0.0337 0.3659 0.3328 0.2568 0.4112 1.0748 0.3954 0.3026 0.0118 0.1577 0.0477 0.0141
8.1 -1.00 -1.00 0.1415 0.0214 0.0161 0.2045 0.4956 0.0322 0.2647 0.3165 0.2712 0.2913 0.9694 0.4002 0.3494 0.0079 0.1653 0.0513 0.0137
8.4 -2.00 -4.00 0.0472 0.0000 0.0654 0.0000 0.3006 0.0000 0.0000 0.0989 0.1175 0.0000 0.0000 0.1273 0.0210 0.0045 0.0122 0.0293 0.0047
8.4 -2.00 -3.75 0.0348 0.0000 0.0730 0.0012 0.2605 0.0000 0.0000 0.1383 0.1707 0.0000 0.0000 0.1805 0.0599 0.0126 0.0344 0.0279 0.0043
