#Cloudy 17.00 models results grids
# O/H: 8.1 - 9.0, log U: -4.0 - -1.0, alpha_OX = -2.0 - -1.0
# SED: AGN doubled peak power law, stopping criterion = 99.9% free electrons w/ dust grains
#plane-parallel geometry
#
12+log(O/H) a_ox log(U) ArII_7m ArV_8m	ArIII_9m SIV_10m NeII_12m ArV_13m NeV_14m NeIII_15m SIII_18m NeV_24m OIV_26m SIII_33m OIII_52m NIII_57m OIII_88m NII_122m NII_205m
8.1 -1.40 -1.25 0.0000 0.0651 0.0102 0.2251 0.0000 0.0977 0.8752 0.0833 0.0326 1.0404 2.2564 0.0319 0.3727 0.0524 0.2203 0.0000 0.0000
8.1 -1.40 -1.00 0.0000 0.0441 0.0061 0.1190 0.0000 0.0658 0.8044 0.0500 0.0167 0.9453 1.7005 0.0164 0.2215 0.0336 0.1320 0.0000 0.0000
8.1 -1.20 -4.00 0.0187 0.0000 0.0528 0.0046 0.0669 0.0000 0.0000 0.1666 0.1104 0.0000 0.0010 0.1145 0.0517 0.0083 0.0312 0.0153 0.0022
8.1 -1.20 -3.75 0.0134 0.0000 0.0587 0.0128 0.0470 0.0000 0.0000 0.2019 0.1517 0.0000 0.0061 0.1555 0.1272 0.0200 0.0763 0.0146 0.0021
8.1 -1.20 -3.50 0.0088 0.0000 0.0633 0.0371 0.0315 0.0000 0.0000 0.2282 0.1945 0.0000 0.0361 0.1972 0.2890 0.0458 0.1727 0.0124 0.0018
8.1 -1.20 -3.25 0.0053 0.0000 0.0652 0.0999 0.0207 0.0016 0.0026 0.2425 0.2277 0.0029 0.1580 0.2287 0.5106 0.0828 0.3045 0.0087 0.0012
8.1 -1.20 -3.00 0.0030 0.0030 0.0624 0.2255 0.0133 0.0048 0.0144 0.2443 0.2401 0.0161 0.4507 0.2393 0.6690 0.1118 0.3991 0.0055 0.0000
8.1 -1.20 -2.75 0.0016 0.0087 0.0536 0.4173 0.0081 0.0139 0.0627 0.2300 0.2259 0.0707 0.9372 0.2234 0.7356 0.1261 0.4387 0.0032 0.0000
8.1 -1.20 -2.50 0.0000 0.0206 0.0418 0.5973 0.0046 0.0323 0.1951 0.2007 0.1873 0.2220 1.5326 0.1841 0.7158 0.1241 0.4266 0.0020 0.0000
8.1 -1.20 -2.25 0.0000 0.0385 0.0305 0.6457 0.0026 0.0597 0.4341 0.1624 0.1339 0.4994 2.1146 0.1311 0.6371 0.1091 0.3791 0.0013 0.0000
8.1 -1.20 -2.00 0.0000 0.0572 0.0211 0.5074 0.0014 0.0878 0.7147 0.1222 0.0820 0.8315 2.4907 0.0802 0.5134 0.0854 0.3055 0.0000 0.0000
8.1 -1.20 -1.75 0.0000 0.0665 0.0135 0.3092 0.0000 0.1009 0.9046 0.0839 0.0443 1.0648 2.4602 0.0433 0.3674 0.0603 0.2191 0.0000 0.0000
8.1 -1.20 -1.50 0.0000 0.0553 0.0085 0.1702 0.0000 0.0830 0.8964 0.0542 0.0241 1.0607 1.9512 0.0236 0.2319 0.0393 0.1388 0.0000 0.0000
8.1 -1.20 -1.25 0.0000 0.0325 0.0053 0.0969 0.0000 0.0488 0.7340 0.0336 0.0131 0.8592 1.2850 0.0129 0.1347 0.0248 0.0809 0.0000 0.0000
8.1 -1.20 -1.00 0.0000 0.0162 0.0034 0.0597 0.0000 0.0244 0.5009 0.0219 0.0076 0.5805 0.7518 0.0075 0.0775 0.0160 0.0467 0.0000 0.0000
8.1 -1.00 -4.00 0.0067 0.0000 0.0243 0.0028 0.0211 0.0000 0.0000 0.0850 0.0553 0.0000 0.0000 0.0575 0.0267 0.0043 0.0164 0.0069 0.0000
8.1 -1.00 -3.75 0.0118 0.0000 0.0615 0.0179 0.0340 0.0000 0.0000 0.2270 0.1679 0.0000 0.0094 0.1718 0.1495 0.0227 0.0903 0.0149 0.0021
8.1 -1.00 -3.50 0.0076 0.0000 0.0651 0.0505 0.0215 0.0000 0.0000 0.2457 0.2081 0.0000 0.0540 0.2105 0.3250 0.0501 0.1952 0.0123 0.0018
8.1 -1.00 -3.25 0.0045 0.0013 0.0658 0.1327 0.0134 0.0021 0.0047 0.2522 0.2347 0.0052 0.2322 0.2349 0.5411 0.0866 0.3240 0.0085 0.0012
8.1 -1.00 -3.00 0.0026 0.0041 0.0611 0.2884 0.0083 0.0066 0.0262 0.2427 0.2355 0.0294 0.6486 0.2337 0.6652 0.1113 0.3979 0.0053 0.0000
8.1 -1.00 -2.75 0.0014 0.0123 0.0498 0.4981 0.0047 0.0194 0.1141 0.2123 0.2059 0.1292 1.3100 0.2028 0.6765 0.1184 0.4045 0.0031 0.0000
8.1 -1.00 -2.50 0.0000 0.0281 0.0364 0.6277 0.0026 0.0438 0.3269 0.1679 0.1544 0.3739 1.9880 0.1513 0.5957 0.1074 0.3561 0.0020 0.0000
8.1 -1.00 -2.25 0.0000 0.0478 0.0249 0.5597 0.0014 0.0738 0.6280 0.1227 0.0980 0.7259 2.4331 0.0958 0.4747 0.0859 0.2837 0.0013 0.0000
8.1 -1.00 -2.00 0.0000 0.0613 0.0161 0.3661 0.0000 0.0936 0.8653 0.0838 0.0541 1.0112 2.4417 0.0529 0.3415 0.0615 0.2042 0.0000 0.0000
8.1 -1.00 -1.75 0.0000 0.0562 0.0102 0.2074 0.0000 0.0850 0.9011 0.0553 0.0295 1.0628 1.9701 0.0289 0.2211 0.0406 0.1325 0.0000 0.0000
8.1 -1.00 -1.50 0.0000 0.0359 0.0062 0.1183 0.0000 0.0541 0.7663 0.0349 0.0157 0.8996 1.3214 0.0154 0.1327 0.0260 0.0798 0.0000 0.0000
8.1 -1.00 -1.25 0.0000 0.0184 0.0041 0.0726 0.0000 0.0278 0.5387 0.0237 0.0096 0.6263 0.7779 0.0095 0.0793 0.0170 0.0478 0.0000 0.0000
8.1 -1.00 -1.00 0.0000 0.0096 0.0028 0.0481 0.0000 0.0146 0.3337 0.0173 0.0059 0.3873 0.4481 0.0059 0.0508 0.0119 0.0307 0.0000 0.0000
8.4 -2.00 -4.00 0.0257 0.0000 0.0549 0.0000 0.1992 0.0000 0.0000 0.0743 0.1212 0.0000 0.0000 0.1258 0.0314 0.0073 0.0181 0.0205 0.0029
8.4 -2.00 -3.75 0.0178 0.0000 0.0625 0.0020 0.1758 0.0000 0.0000 0.1169 0.1783 0.0000 0.0000 0.1833 0.0892 0.0205 0.0512 0.0195 0.0028
8.4 -2.00 -3.50 0.0117 0.0000 0.0687 0.0073 0.1439 0.0000 0.0000 0.1715 0.2430 0.0000 0.0032 0.2483 0.2301 0.0515 0.1319 0.0169 0.0024
8.4 -2.00 -3.25 0.0074 0.0000 0.0744 0.0233 0.1100 0.0000 0.0000 0.2353 0.3086 0.0000 0.0192 0.3144 0.4992 0.1045 0.2860 0.0124 0.0017
8.4 -2.00 -3.00 0.0045 0.0000 0.0789 0.0639 0.0777 0.0000 0.0000 0.2983 0.3639 0.0000 0.0840 0.3698 0.8417 0.1620 0.4820 0.0074 0.0010
8.4 -2.00 -2.75 0.0026 0.0000 0.0806 0.1507 0.0504 0.0000 0.0000 0.3483 0.3983 0.0000 0.2681 0.4038 1.1149 0.2016 0.6385 0.0038 0.0000
8.4 -2.00 -2.50 0.0015 0.0000 0.0791 0.3117 0.0304 0.0012 0.0014 0.3811 0.4096 0.0015 0.6759 0.4145 1.2564 0.2216 0.7209 0.0019 0.0000
8.4 -2.00 -2.25 0.0000 0.0013 0.0749 0.5439 0.0264 0.0022 0.0016 0.4255 0.4117 0.0017 0.3181 0.4170 1.4837 0.2426 0.8315 0.0011 0.0000
8.4 -2.00 -2.00 0.0000 0.0022 0.0685 0.7877 0.0180 0.0037 0.0027 0.4455 0.3827 0.0030 0.2892 0.3874 1.5451 0.2422 0.8413 0.0000 0.0000
8.4 -2.00 -1.75 0.0000 0.0040 0.0595 1.1113 0.0114 0.0066 0.0064 0.4597 0.3378 0.0071 0.3803 0.3414 1.5839 0.2350 0.8395 0.0000 0.0000
8.4 -2.00 -1.50 0.0000 0.0068 0.0497 1.4437 0.0073 0.0113 0.0157 0.4669 0.2850 0.0174 0.5332 0.2875 1.6018 0.2205 0.8271 0.0000 0.0000
8.4 -2.00 -1.25 0.0000 0.0118 0.0398 1.7453 0.0046 0.0194 0.0401 0.4675 0.2303 0.0445 0.7942 0.2316 1.6016 0.1992 0.8079 0.0000 0.0000
8.4 -2.00 -1.00 0.0000 0.0205 0.0306 1.9548 0.0030 0.0334 0.1020 0.4584 0.1778 0.1135 1.2163 0.1782 1.5759 0.1712 0.7817 0.0000 0.0000
8.4 -1.80 -4.00 0.0256 0.0000 0.0554 0.0000 0.1937 0.0000 0.0000 0.0853 0.1231 0.0000 0.0000 0.1277 0.0337 0.0075 0.0195 0.0206 0.0029
8.4 -1.80 -3.75 0.0177 0.0000 0.0630 0.0028 0.1677 0.0000 0.0000 0.1317 0.1809 0.0000 0.0000 0.1859 0.0955 0.0212 0.0549 0.0196 0.0028
8.4 -1.80 -3.50 0.0116 0.0000 0.0692 0.0098 0.1340 0.0000 0.0000 0.1888 0.2461 0.0000 0.0050 0.2515 0.2452 0.0532 0.1407 0.0169 0.0024
8.4 -1.80 -3.25 0.0074 0.0000 0.0749 0.0303 0.0996 0.0000 0.0000 0.2530 0.3118 0.0000 0.0295 0.3175 0.5255 0.1072 0.3015 0.0123 0.0017
8.4 -1.80 -3.00 0.0045 0.0000 0.0792 0.0817 0.0685 0.0000 0.0000 0.3133 0.3670 0.0000 0.1277 0.3726 0.8724 0.1652 0.5006 0.0073 0.0010
8.4 -1.80 -2.75 0.0026 0.0000 0.0804 0.1900 0.0432 0.0012 0.0016 0.3573 0.4000 0.0018 0.4024 0.4051 1.1354 0.2045 0.6522 0.0037 0.0000
8.4 -1.80 -2.50 0.0014 0.0020 0.0778 0.3862 0.0250 0.0034 0.0077 0.3790 0.4080 0.0085 0.9991 0.4119 1.2506 0.2234 0.7207 0.0018 0.0000
8.4 -1.80 -2.25 0.0000 0.0042 0.0699 0.6789 0.0223 0.0070 0.0101 0.4247 0.4007 0.0112 0.6079 0.4052 1.4949 0.2454 0.8414 0.0010 0.0000
8.4 -1.80 -2.00 0.0000 0.0070 0.0625 0.9372 0.0154 0.0117 0.0177 0.4413 0.3647 0.0195 0.5840 0.3685 1.5523 0.2431 0.8515 0.0000 0.0000
8.4 -1.80 -1.75 0.0000 0.0121 0.0528 1.2478 0.0097 0.0200 0.0400 0.4482 0.3141 0.0443 0.7656 0.3167 1.5772 0.2330 0.8437 0.0000 0.0000
8.4 -1.80 -1.50 0.0000 0.0205 0.0427 1.5409 0.0061 0.0337 0.0945 0.4476 0.2572 0.1050 1.0944 0.2586 1.5846 0.2157 0.8290 0.0000 0.0000
8.4 -1.80 -1.25 0.0000 0.0341 0.0323 1.7227 0.0037 0.0556 0.2212 0.4316 0.1957 0.2467 1.6312 0.1960 1.5494 0.1884 0.7978 0.0000 0.0000
8.4 -1.80 -1.00 0.0000 0.0548 0.0231 1.6899 0.0023 0.0880 0.4755 0.3992 0.1387 0.5341 2.3707 0.1383 1.4667 0.1544 0.7489 0.0000 0.0000
8.4 -1.60 -4.00 0.0253 0.0000 0.0570 0.0015 0.1784 0.0000 0.0000 0.1161 0.1288 0.0000 0.0000 0.1337 0.0406 0.0083 0.0235 0.0210 0.0030
8.4 -1.60 -3.75 0.0175 0.0000 0.0646 0.0053 0.1467 0.0000 0.0000 0.1706 0.1887 0.0000 0.0016 0.1939 0.1144 0.0234 0.0660 0.0199 0.0028
8.4 -1.60 -3.50 0.0114 0.0000 0.0708 0.0174 0.1104 0.0000 0.0000 0.2316 0.2556 0.0000 0.0116 0.2610 0.2894 0.0581 0.1667 0.0170 0.0024
8.4 -1.60 -3.25 0.0072 0.0000 0.0760 0.0519 0.0769 0.0000 0.0000 0.2923 0.3208 0.0000 0.0663 0.3263 0.5986 0.1150 0.3449 0.0120 0.0017
8.4 -1.60 -3.00 0.0043 0.0000 0.0798 0.1364 0.0497 0.0014 0.0022 0.3430 0.3744 0.0024 0.2768 0.3794 0.9502 0.1738 0.5481 0.0069 0.0000
8.4 -1.60 -2.75 0.0024 0.0024 0.0795 0.3073 0.0290 0.0041 0.0120 0.3679 0.4014 0.0133 0.8399 0.4050 1.1724 0.2112 0.6789 0.0034 0.0000
8.4 -1.60 -2.50 0.0012 0.0070 0.0730 0.5932 0.0151 0.0116 0.0552 0.3563 0.3955 0.0611 1.9671 0.3965 1.2011 0.2241 0.6985 0.0016 0.0000
