#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -4.0 - -1.5
# SED: BPASS v.2.1, a = -1.35, M_up = 300 M_sun,, age = 1 Myr
# Plane-parallel geometry
#
#12+log(O/H) log(N/O) log(U) OII_3727 NeIII_3868 OIII_4363 OIII_5007 NII_6584 SII_6717,31
6.9 -0.750 -1.75 0.0512 0.1256 0.0435 1.2172 0.0089 0.0085
6.9 -0.750 -1.5 0.0402 0.1435 0.0541 1.3719 0.007 0.0068
6.9 -0.625 -4.0 0.3436 0.0142 0.0 0.0123 0.1281 0.1018
6.9 -0.625 -3.75 0.3893 0.0207 0.0 0.0384 0.1292 0.0854
6.9 -0.625 -3.5 0.4015 0.029 0.0016 0.1059 0.1184 0.0686
6.9 -0.625 -3.25 0.357 0.0388 0.0039 0.2307 0.095 0.0529
6.9 -0.625 -3.0 0.2756 0.0498 0.0076 0.3937 0.0683 0.0394
6.9 -0.625 -2.75 0.1956 0.0622 0.0125 0.565 0.0465 0.0286
6.9 -0.625 -2.5 0.1348 0.0759 0.0184 0.7322 0.0315 0.0206
6.9 -0.625 -2.25 0.094 0.0911 0.0254 0.8943 0.0218 0.0149
6.9 -0.625 -2.0 0.0678 0.1073 0.0335 1.0526 0.0157 0.0111
6.9 -0.625 -1.75 0.051 0.1243 0.0427 1.2071 0.0118 0.0085
6.9 -0.625 -1.5 0.04 0.1415 0.0528 1.3568 0.0093 0.0068
6.9 -0.500 -4.0 0.343 0.0142 0.0 0.0123 0.1706 0.1017
6.9 -0.500 -3.75 0.3886 0.0207 0.0 0.0383 0.1721 0.0853
6.9 -0.500 -3.5 0.4008 0.0289 0.0016 0.1057 0.1578 0.0686
6.9 -0.500 -3.25 0.3564 0.0387 0.0039 0.2302 0.1265 0.0529
6.9 -0.500 -3.0 0.2752 0.0497 0.0076 0.3928 0.091 0.0394
6.9 -0.500 -2.75 0.1952 0.062 0.0124 0.5633 0.062 0.0286
6.9 -0.500 -2.5 0.1346 0.0756 0.0182 0.7293 0.042 0.0206
6.9 -0.500 -2.25 0.0938 0.0905 0.0251 0.8893 0.029 0.0149
6.9 -0.500 -2.0 0.0676 0.1063 0.0329 1.0445 0.0209 0.0111
6.9 -0.500 -1.75 0.0508 0.1227 0.0417 1.1943 0.0157 0.0085
6.9 -0.500 -1.5 0.0398 0.139 0.0511 1.3374 0.0123 0.0068
6.9 -0.375 -4.0 0.3422 0.0142 0.0 0.0122 0.2273 0.1016
6.9 -0.375 -3.75 0.3877 0.0206 0.0 0.0382 0.2293 0.0853
6.9 -0.375 -3.5 0.3998 0.0289 0.0016 0.1054 0.2102 0.0685
6.9 -0.375 -3.25 0.3555 0.0386 0.0039 0.2296 0.1686 0.0528
6.9 -0.375 -3.0 0.2746 0.0496 0.0076 0.3916 0.1213 0.0393
6.9 -0.375 -2.75 0.1948 0.0617 0.0123 0.5611 0.0827 0.0286
6.9 -0.375 -2.5 0.1342 0.0751 0.018 0.7255 0.0559 0.0206
6.9 -0.375 -2.25 0.0935 0.0897 0.0247 0.8829 0.0386 0.0149
6.9 -0.375 -2.0 0.0674 0.1051 0.0322 1.0341 0.0278 0.011
6.9 -0.375 -1.75 0.0505 0.1206 0.0405 1.1779 0.0209 0.0085
6.9 -0.375 -1.5 0.0395 0.136 0.0492 1.3135 0.0163 0.0068
6.9 -0.250 -4.0 0.3412 0.0141 0.0 0.0122 0.3026 0.1015
6.9 -0.250 -3.75 0.3864 0.0206 0.0 0.0381 0.3052 0.0852
6.9 -0.250 -3.5 0.3985 0.0288 0.0015 0.105 0.2799 0.0685
6.9 -0.250 -3.25 0.3544 0.0385 0.0039 0.2287 0.2245 0.0528
6.9 -0.250 -3.0 0.2737 0.0493 0.0075 0.39 0.1615 0.0393
6.9 -0.250 -2.75 0.1942 0.0614 0.0122 0.5582 0.1101 0.0286
6.9 -0.250 -2.5 0.1338 0.0746 0.0178 0.7205 0.0745 0.0205
6.9 -0.250 -2.25 0.0931 0.0887 0.0242 0.8746 0.0515 0.0149
6.9 -0.250 -2.0 0.067 0.1034 0.0313 1.0207 0.0369 0.011
6.9 -0.250 -1.75 0.0502 0.1181 0.039 1.1576 0.0277 0.0085
6.9 -0.250 -1.5 0.0391 0.1324 0.0468 1.2845 0.0217 0.0067
6.9 -0.125 -4.0 0.3399 0.0141 0.0 0.0122 0.4027 0.1014
6.9 -0.125 -3.75 0.3848 0.0205 0.0 0.0379 0.4062 0.0851
6.9 -0.125 -3.5 0.3968 0.0286 0.0015 0.1045 0.3725 0.0684
6.9 -0.125 -3.25 0.3529 0.0383 0.0038 0.2276 0.2989 0.0527
6.9 -0.125 -3.0 0.2726 0.049 0.0074 0.3877 0.2151 0.0393
6.9 -0.125 -2.75 0.1934 0.0609 0.012 0.5544 0.1467 0.0285
6.9 -0.125 -2.5 0.1332 0.0738 0.0174 0.714 0.0992 0.0205
6.9 -0.125 -2.25 0.0926 0.0875 0.0235 0.8639 0.0685 0.0148
6.9 -0.125 -2.0 0.0665 0.1014 0.0302 1.0039 0.0491 0.011
6.9 -0.125 -1.75 0.0497 0.115 0.0372 1.1327 0.0368 0.0084
6.9 -0.125 -1.5 0.0386 0.128 0.0442 1.2497 0.0287 0.0067
6.9 0.000 -4.0 0.3381 0.014 0.0 0.0121 0.5356 0.1012
6.9 0.000 -3.75 0.3826 0.0203 0.0 0.0377 0.5402 0.0849
6.9 0.000 -3.5 0.3945 0.0285 0.0015 0.1039 0.4955 0.0683
6.9 0.000 -3.25 0.3509 0.038 0.0038 0.226 0.3977 0.0526
6.9 0.000 -3.0 0.2711 0.0487 0.0073 0.3849 0.2863 0.0392
6.9 0.000 -2.75 0.1923 0.0603 0.0118 0.5494 0.1953 0.0285
6.9 0.000 -2.5 0.1324 0.0728 0.017 0.7056 0.132 0.0205
6.9 0.000 -2.25 0.092 0.0859 0.0228 0.8504 0.0911 0.0148
6.9 0.000 -2.0 0.066 0.0989 0.0289 0.9831 0.0652 0.0109
6.9 0.000 -1.75 0.0492 0.1114 0.0351 1.1027 0.0487 0.0084
6.9 0.000 -1.5 0.038 0.123 0.0412 1.2088 0.0379 0.0066
7.0 -2.000 -4.0 0.4328 0.0109 0.0 0.0151 0.0068 0.1275
7.0 -2.000 -3.75 0.4915 0.016 0.0 0.0472 0.0069 0.107
7.0 -2.000 -3.5 0.5085 0.0226 0.0019 0.1308 0.0063 0.086
7.0 -2.000 -3.25 0.4539 0.0305 0.0049 0.2869 0.0051 0.0663
7.0 -2.000 -3.0 0.3515 0.0393 0.0096 0.4926 0.0036 0.0493
7.0 -2.000 -2.75 0.2497 0.0493 0.0157 0.71 0.0025 0.0358
7.0 -2.000 -2.5 0.1723 0.0604 0.0233 0.9239 0.0017 0.0258
7.0 -2.000 -2.25 0.1202 0.0729 0.0324 1.1339 0.0012 0.0187
