#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -4.0 - -1.5 (O/H vs log U and vs N/O empirically constrained)
# SED: BPASS v.2.1, a = -1.35, M_up = 300 M_sun,, age = 1 Myr
# Plane-parallel geometry
#
#12+log(O/H) log(N/O) log(U) OII_3727 NeIII_3868 OIII_4363 OIII_5007 NII_6584 SII_6717,31
8.70 -1.250 -2.75 2.0585 0.0716 0.0029 1.5477 0.2720 0.4755
8.70 -1.250 -2.50 1.7813 0.0982 0.0049 2.3205 0.2006 0.3455
8.70 -1.125 -3.00 2.0490 0.0452 0.0014 0.8357 0.4413 0.6186
8.70 -1.125 -2.75 1.9947 0.0692 0.0028 1.5089 0.3564 0.4679
8.70 -1.125 -2.50 1.7335 0.0953 0.0047 2.2702 0.2635 0.3406
8.70 -1.000 -3.00 1.9516 0.0429 0.0013 0.8020 0.5725 0.6035
8.70 -1.000 -2.75 1.9128 0.0661 0.0026 1.4583 0.4644 0.4580
8.70 -1.000 -2.50 1.6718 0.0916 0.0045 2.2051 0.3445 0.3341
8.70 -0.875 -3.00 1.8294 0.0400 0.0011 0.7594 0.7358 0.5841
8.70 -0.875 -2.75 1.8093 0.0622 0.0024 1.3931 0.6004 0.4452
8.70 -0.875 -2.50 1.5931 0.0870 0.0041 2.1206 0.4475 0.3258
8.70 -0.750 -3.00 1.6791 0.0364 0.0000 0.7066 0.9346 0.5593
8.70 -0.750 -2.75 1.6782 0.0574 0.0021 1.3097 0.7680 0.4284
8.70 -0.750 -2.50 1.4946 0.0811 0.0037 2.0119 0.5762 0.3150
8.80 -1.000 -3.25 0.7621 0.0068 0.0000 0.1266 0.4250 0.5308
8.80 -1.000 -3.00 1.1222 0.0161 0.0000 0.3875 0.4690 0.4884
8.80 -1.000 -2.75 1.2962 0.0287 0.0000 0.7977 0.4224 0.3935
8.80 -0.875 -3.25 0.6976 0.0062 0.0000 0.1168 0.5378 0.5070
8.80 -0.875 -3.00 1.0296 0.0146 0.0000 0.3597 0.5953 0.4675
8.80 -0.875 -2.75 1.1999 0.0263 0.0000 0.7468 0.5397 0.3785
8.80 -0.750 -3.25 0.6235 0.0055 0.0000 0.1055 0.6709 0.4779
8.80 -0.750 -3.00 0.9197 0.0129 0.0000 0.3259 0.7439 0.4413
8.80 -0.750 -2.75 1.0826 0.0235 0.0000 0.6833 0.6795 0.3592
8.80 -0.625 -3.25 0.5393 0.0046 0.0000 0.0924 0.8205 0.4426
8.80 -0.625 -3.00 0.7941 0.0109 0.0000 0.2866 0.9114 0.4093
8.80 -0.625 -2.75 0.9442 0.0201 0.0000 0.6068 0.8394 0.3351
8.80 -0.500 -3.25 0.4496 0.0038 0.0000 0.0783 0.9813 0.4018
8.80 -0.500 -3.00 0.6575 0.0089 0.0000 0.2425 1.0895 0.3715
8.80 -0.500 -2.75 0.7884 0.0164 0.0000 0.5173 1.0117 0.3057
8.90 -1.000 -3.25 0.2093 0.0010 0.0000 0.0274 0.2109 0.2865
8.90 -1.000 -3.00 0.3966 0.0032 0.0000 0.1150 0.2846 0.3076
8.90 -1.000 -2.75 0.6066 0.0075 0.0000 0.3024 0.3102 0.2840
8.90 -0.875 -3.25 0.1914 0.0000 0.0000 0.0251 0.2657 0.2722
8.90 -0.875 -3.00 0.3581 0.0029 0.0000 0.1042 0.3570 0.2912
8.90 -0.875 -2.75 0.5447 0.0066 0.0000 0.2744 0.3891 0.2689
8.90 -0.750 -3.25 0.1710 0.0000 0.0000 0.0224 0.3294 0.2548
