#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -2.5 - -0.5 (O/H vs N/O empirically constrained)
# SED: double composite AGN power law, a(UV) = -1.5, a(ox) = -1.2
# Plane-parallel geometry
#
#12+log(O/H) log(N/O) log(U) OII_3727 NeIII_3868 OIII_4363 OIII_5007 NII_6584 SII_6717,31
7.80 -1.625 -2.25 0.6118 0.2403 0.1027 3.3518 0.0402 0.4046
7.80 -1.625 -2.00 0.5063 0.2084 0.0944 2.7844 0.0399 0.4354
7.80 -1.625 -1.75 0.4585 0.1750 0.0694 1.9396 0.0420 0.4707
7.80 -1.625 -1.50 0.4620 0.1523 0.0402 1.1244 0.0458 0.5543
7.80 -1.625 -1.25 0.5105 0.1427 0.0188 0.5572 0.0502 0.7237
7.80 -1.625 -1.00 0.5716 0.1399 0.0080 0.2567 0.0532 1.0267
7.80 -1.625 -0.75 0.6298 0.1376 0.0039 0.1371 0.0547 1.3270
7.80 -1.625 -0.50 0.6718 0.1330 0.0025 0.0963 0.0551 1.5638
7.80 -1.500 -2.50 0.7837 0.2571 0.0928 3.4676 0.0577 0.4204
7.80 -1.500 -2.25 0.6118 0.2399 0.1021 3.3457 0.0536 0.4036
7.80 -1.500 -2.00 0.5064 0.2082 0.0939 2.7810 0.0532 0.4354
7.80 -1.500 -1.75 0.4588 0.1749 0.0692 1.9389 0.0560 0.4700
7.80 -1.500 -1.50 0.4624 0.1522 0.0401 1.1252 0.0611 0.5523
7.80 -1.500 -1.25 0.5104 0.1426 0.0188 0.5572 0.0669 0.7251
7.80 -1.500 -1.00 0.5716 0.1399 0.0081 0.2568 0.0709 1.0261
7.80 -1.500 -0.75 0.6308 0.1379 0.0039 0.1374 0.0730 1.3198
7.80 -1.500 -0.50 0.6715 0.1328 0.0025 0.0961 0.0734 1.5750
7.90 -1.750 -2.50 0.9699 0.3114 0.1098 4.2548 0.0403 0.4846
7.90 -1.750 -2.25 0.7582 0.2920 0.1223 4.1264 0.0375 0.4791
7.90 -1.750 -2.00 0.6286 0.2544 0.1138 3.4450 0.0372 0.5335
7.90 -1.750 -1.75 0.5709 0.2138 0.0847 2.4105 0.0391 0.5931
7.90 -1.750 -1.50 0.5757 0.1853 0.0495 1.4004 0.0426 0.7058
7.90 -1.750 -1.25 0.6370 0.1717 0.0233 0.6996 0.0465 0.8670
7.90 -1.750 -1.00 0.7194 0.1701 0.0103 0.3290 0.0497 1.1406
7.90 -1.750 -0.75 0.7926 0.1684 0.0051 0.1762 0.0511 1.4833
7.90 -1.750 -0.50 0.8423 0.1626 0.0032 0.1222 0.0512 1.8076
7.90 -1.625 -2.50 0.9695 0.3108 0.1093 4.2466 0.0537 0.4841
7.90 -1.625 -2.25 0.7580 0.2915 0.1218 4.1201 0.0500 0.4785
7.90 -1.625 -2.00 0.6286 0.2541 0.1134 3.4415 0.0496 0.5328
7.90 -1.625 -1.75 0.5711 0.2137 0.0844 2.4093 0.0521 0.5932
7.90 -1.625 -1.50 0.5759 0.1852 0.0494 1.4006 0.0568 0.7060
7.90 -1.625 -1.25 0.6370 0.1717 0.0233 0.6999 0.0620 0.8664
7.90 -1.625 -1.00 0.7192 0.1700 0.0103 0.3289 0.0663 1.1406
7.90 -1.625 -0.75 0.7931 0.1685 0.0051 0.1765 0.0682 1.4795
7.90 -1.625 -0.50 0.8423 0.1626 0.0033 0.1222 0.0683 1.8066
7.90 -1.500 -2.50 0.9689 0.3100 0.1087 4.2362 0.0716 0.4830
7.90 -1.500 -2.25 0.7578 0.2908 0.1210 4.1107 0.0666 0.4775
7.90 -1.500 -2.00 0.6286 0.2538 0.1128 3.4373 0.0661 0.5316
7.90 -1.500 -1.75 0.5713 0.2136 0.0841 2.4090 0.0695 0.5921
7.90 -1.500 -1.50 0.5762 0.1850 0.0493 1.4009 0.0757 0.7054
7.90 -1.500 -1.25 0.6368 0.1716 0.0233 0.7000 0.0827 0.8662
7.90 -1.500 -1.00 0.7189 0.1699 0.0103 0.3289 0.0883 1.1418
7.90 -1.500 -0.75 0.7926 0.1683 0.0051 0.1764 0.0908 1.4824
7.90 -1.500 -0.50 0.8441 0.1629 0.0033 0.1225 0.0912 1.7990
8.00 -1.750 -2.50 1.1951 0.3731 0.1267 5.1651 0.0498 0.5458
8.00 -1.750 -2.25 0.9389 0.3526 0.1437 5.0641 0.0465 0.5357
8.00 -1.750 -2.00 0.7818 0.3090 0.1366 4.2778 0.0462 0.5888
