#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 60 kK
# SED: WM-Basic (Pauldrach et al 2001) 
#plane-paralell geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135 NII_6584
7.1 50000 -3.50 0.7064 0.0921 0.0978 0.0199 0.0223 0.0569 0.0161 0.0000 0.0000 0.0107 0.0260
7.1 50000 -3.25 0.7025 0.2343 0.0748 0.0255 0.0219 0.0561 0.0158 0.0000 0.0000 0.0121 0.0218
7.1 50000 -3.00 0.6042 0.4679 0.0552 0.0308 0.0216 0.0553 0.0156 0.0000 0.0000 0.0135 0.0161
7.1 50000 -2.75 0.4600 0.7509 0.0399 0.0356 0.0214 0.0547 0.0153 0.0000 0.0000 0.0148 0.0111
7.1 50000 -2.50 0.3279 1.0385 0.0288 0.0392 0.0211 0.0541 0.0151 0.0000 0.0000 0.0159 0.0075
7.1 50000 -2.25 0.2300 1.3127 0.0210 0.0414 0.0209 0.0537 0.0150 0.0010 0.0000 0.0165 0.0051
7.1 50000 -2.00 0.1639 1.5715 0.0158 0.0418 0.0207 0.0534 0.0149 0.0013 0.0019 0.0165 0.0036
7.1 50000 -1.75 0.1205 1.8152 0.0123 0.0403 0.0205 0.0531 0.0148 0.0016 0.0032 0.0156 0.0027
7.1 50000 -1.50 0.0916 2.0449 0.0100 0.0371 0.0204 0.0528 0.0147 0.0022 0.0049 0.0142 0.0021
7.1 55000 -4.00 0.5524 0.0104 0.1438 0.0112 0.0237 0.0608 0.0172 0.0000 0.0000 0.0088 0.0268
7.1 55000 -3.75 0.6458 0.0338 0.1190 0.0157 0.0231 0.0593 0.0168 0.0000 0.0000 0.0099 0.0272
7.1 55000 -3.50 0.7121 0.1012 0.0943 0.0209 0.0226 0.0579 0.0164 0.0000 0.0000 0.0112 0.0253
7.1 55000 -3.25 0.6984 0.2556 0.0716 0.0264 0.0221 0.0567 0.0160 0.0000 0.0000 0.0125 0.0205
7.1 55000 -3.00 0.5911 0.4997 0.0528 0.0315 0.0217 0.0558 0.0157 0.0000 0.0000 0.0138 0.0148
7.1 55000 -2.75 0.4452 0.7879 0.0384 0.0361 0.0214 0.0550 0.0154 0.0000 0.0000 0.0151 0.0101
7.1 55000 -2.50 0.3157 1.0793 0.0279 0.0395 0.0211 0.0543 0.0152 0.0000 0.0000 0.0163 0.0068
7.1 55000 -2.25 0.2212 1.3596 0.0205 0.0415 0.0209 0.0539 0.0150 0.0000 0.0000 0.0171 0.0047
7.1 55000 -2.00 0.1579 1.6295 0.0156 0.0417 0.0207 0.0536 0.0149 0.0000 0.0017 0.0172 0.0033
7.1 55000 -1.75 0.1165 1.8893 0.0122 0.0401 0.0205 0.0534 0.0149 0.0000 0.0030 0.0166 0.0025
7.1 55000 -1.50 0.0891 2.1391 0.0100 0.0371 0.0204 0.0532 0.0148 0.0000 0.0047 0.0153 0.0019
7.1 60000 -4.00 0.5505 0.0162 0.1579 0.0099 0.0239 0.0611 0.0173 0.0000 0.0000 0.0091 0.0269
7.1 60000 -3.75 0.6308 0.0513 0.1331 0.0142 0.0231 0.0590 0.0167 0.0000 0.0000 0.0101 0.0269
