#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, f_abs: 0.01 - 1.0
# SED: BPASS v.2.1 (Eldridge et al 2017), alpha(IMF) = -1.35, M_up = 300, age = 4 Myr, Z_* = Z_g
# Spherical geometry
#
12+log(O/H) f_abs log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135 NII_6584
7.4 0.112 -1.97 0.0408 3.7095 0.0035 0.0523 0.0188 0.0484 0.0133 0.0126 0.0096 0.0144 0.0000
7.4 0.055 -1.81 0.0282 3.6049 0.0012 0.0424 0.0166 0.0430 0.0118 0.0248 0.0106 0.0114 0.0000
7.4 0.022 -1.67 0.0196 3.2180 0.0000 0.0328 0.0131 0.0339 0.0092 0.0531 0.0105 0.0086 0.0000
7.4 0.015 -1.62 0.0163 2.9177 0.0000 0.0286 0.0111 0.0287 0.0078 0.0748 0.0100 0.0075 0.0000
7.4 1.000 -2.27 0.3411 2.6012 0.0514 0.0615 0.0208 0.0536 0.0149 0.0019 0.0041 0.0199 0.0111
7.4 0.859 -2.23 0.2204 2.9572 0.0230 0.0656 0.0202 0.0518 0.0143 0.0022 0.0048 0.0203 0.0051
7.4 0.543 -2.12 0.0862 3.4713 0.0096 0.0626 0.0201 0.0518 0.0143 0.0034 0.0070 0.0186 0.0015
7.4 0.230 -1.89 0.0382 3.9420 0.0033 0.0492 0.0195 0.0504 0.0139 0.0080 0.0110 0.0136 0.0000
7.4 0.118 -1.71 0.0239 4.1486 0.0000 0.0381 0.0186 0.0480 0.0131 0.0153 0.0136 0.0102 0.0000
7.4 0.055 -1.51 0.0140 4.0410 0.0000 0.0259 0.0161 0.0417 0.0113 0.0324 0.0150 0.0067 0.0000
7.4 0.023 -1.30 0.0081 3.5675 0.0000 0.0167 0.0122 0.0315 0.0085 0.0730 0.0148 0.0042 0.0000
7.4 0.013 -1.16 0.0050 2.7819 0.0000 0.0115 0.0076 0.0197 0.0053 0.1337 0.0130 0.0029 0.0000
7.4 1.000 -2.07 0.2907 2.8432 0.0451 0.0585 0.0206 0.0531 0.0148 0.0024 0.0053 0.0188 0.0095
7.4 0.804 -2.02 0.1365 3.3310 0.0148 0.0615 0.0200 0.0513 0.0142 0.0030 0.0066 0.0188 0.0028
7.4 0.516 -1.91 0.0597 3.7918 0.0062 0.0554 0.0199 0.0513 0.0141 0.0047 0.0093 0.0161 0.0000
7.4 0.203 -1.65 0.0241 4.2443 0.0000 0.0374 0.0189 0.0488 0.0134 0.0117 0.0140 0.0101 0.0000
7.4 0.106 -1.47 0.0145 4.3680 0.0000 0.0262 0.0176 0.0456 0.0124 0.0221 0.0163 0.0068 0.0000
7.4 0.055 -1.28 0.0085 4.1692 0.0000 0.0167 0.0153 0.0395 0.0107 0.0416 0.0170 0.0043 0.0000
7.4 0.020 -1.01 0.0040 3.4942 0.0000 0.0084 0.0104 0.0269 0.0072 0.1081 0.0165 0.0022 0.0000
7.4 0.013 -0.87 0.0026 2.9457 0.0000 0.0062 0.0067 0.0173 0.0046 0.1937 0.0163 0.0017 0.0000
7.4 1.000 -1.76 0.2326 3.1827 0.0381 0.0528 0.0202 0.0523 0.0145 0.0037 0.0073 0.0170 0.0077
7.4 0.866 -1.73 0.1206 3.5663 0.0136 0.0547 0.0196 0.0505 0.0139 0.0043 0.0084 0.0169 0.0026
7.4 0.551 -1.62 0.0433 4.1526 0.0041 0.0467 0.0195 0.0504 0.0138 0.0067 0.0120 0.0135 0.0000
7.4 0.221 -1.37 0.0161 4.6267 0.0000 0.0276 0.0184 0.0476 0.0130 0.0164 0.0172 0.0073 0.0000
7.4 0.110 -1.16 0.0083 4.5661 0.0000 0.0158 0.0165 0.0428 0.0116 0.0326 0.0189 0.0042 0.0000
7.4 0.056 -0.94 0.0043 4.1271 0.0000 0.0081 0.0136 0.0352 0.0095 0.0635 0.0187 0.0022 0.0000
7.4 0.023 -0.69 0.0011 3.3820 0.0000 0.0037 0.0092 0.0238 0.0064 0.1453 0.0181 0.0011 0.0000
7.4 0.013 -0.52 0.0000 2.7145 0.0000 0.0025 0.0050 0.0130 0.0034 0.2765 0.0191 0.0000 0.0000
7.4 1.000 -1.52 0.1983 3.4312 0.0339 0.0481 0.0199 0.0516 0.0143 0.0052 0.0089 0.0156 0.0066
7.4 0.869 -1.48 0.0930 3.8227 0.0109 0.0489 0.0193 0.0499 0.0137 0.0060 0.0102 0.0151 0.0019
7.4 0.545 -1.37 0.0317 4.4650 0.0027 0.0390 0.0191 0.0495 0.0136 0.0095 0.0145 0.0111 0.0000
7.4 0.226 -1.12 0.0116 4.8893 0.0000 0.0208 0.0178 0.0461 0.0125 0.0227 0.0194 0.0054 0.0000
7.4 0.113 -0.91 0.0057 4.7048 0.0000 0.0106 0.0157 0.0407 0.0109 0.0449 0.0205 0.0029 0.0000
7.4 0.056 -0.68 0.0026 3.9668 0.0000 0.0044 0.0121 0.0314 0.0084 0.0896 0.0193 0.0013 0.0000
7.4 0.023 -0.43 0.0000 3.0841 0.0000 0.0019 0.0074 0.0191 0.0051 0.2096 0.0191 0.0000 0.0000
7.4 0.013 -0.26 0.0000 2.0449 0.0000 0.0012 0.0027 0.0070 0.0019 0.3761 0.0198 0.0000 0.0000
7.7 1.000 -4.01 1.8440 0.0530 0.5732 0.0348 0.0232 0.0595 0.0168 0.0000 0.0000 0.0298 0.0961
7.7 0.833 -4.00 1.9686 0.0619 0.4705 0.0380 0.0209 0.0534 0.0151 0.0000 0.0000 0.0294 0.0961
7.7 0.540 -3.99 2.0588 0.0823 0.4358 0.0419 0.0204 0.0522 0.0148 0.0000 0.0000 0.0300 0.0956
7.7 0.215 -3.97 2.1078 0.1019 0.4152 0.0445 0.0199 0.0510 0.0144 0.0000 0.0000 0.0305 0.0948
7.7 0.117 -3.97 2.0930 0.1029 0.4036 0.0442 0.0193 0.0493 0.0140 0.0000 0.0000 0.0301 0.0931
7.7 0.069 -3.97 2.1764 0.1065 0.4152 0.0459 0.0196 0.0501 0.0141 0.0011 0.0000 0.0312 0.0963
7.7 0.040 -3.97 1.9220 0.0930 0.3635 0.0404 0.0171 0.0438 0.0124 0.0012 0.0000 0.0274 0.0847
7.7 0.016 -3.97 1.4039 0.0688 0.2635 0.0296 0.0126 0.0324 0.0093 0.0016 0.0000 0.0200 0.0616
7.7 1.000 -3.75 2.1194 0.1894 0.4784 0.0520 0.0229 0.0586 0.0166 0.0000 0.0000 0.0346 0.0979
7.7 0.809 -3.73 2.2722 0.2286 0.3854 0.0583 0.0210 0.0536 0.0151 0.0000 0.0000 0.0350 0.0974
7.7 0.514 -3.71 2.3182 0.3052 0.3496 0.0641 0.0207 0.0530 0.0149 0.0010 0.0000 0.0360 0.0945
7.7 0.209 -3.69 2.3260 0.3716 0.3269 0.0673 0.0202 0.0518 0.0146 0.0014 0.0000 0.0365 0.0911
7.7 0.116 -3.68 2.3058 0.3765 0.3162 0.0667 0.0195 0.0500 0.0141 0.0016 0.0000 0.0360 0.0890
7.7 0.068 -3.68 2.4039 0.3920 0.3252 0.0694 0.0199 0.0509 0.0143 0.0018 0.0000 0.0374 0.0921
7.7 0.040 -3.68 2.1166 0.3424 0.2828 0.0608 0.0173 0.0443 0.0125 0.0020 0.0000 0.0327 0.0806
7.7 0.017 -3.68 1.5344 0.2519 0.2031 0.0442 0.0126 0.0325 0.0093 0.0024 0.0000 0.0237 0.0581
