#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, f_abs: 0.01 - 1.0
# SED: BPASS v.2.1 (Eldridge et al 2017), alpha(IMF) = -1.35, M_up = 300, age = 4 Myr, Z_* = Z_g
# Spherical geometry
#
12+log(O/H) f_abs log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135 NII_6584
8.9 0.090 -1.11 0.0056 1.5549 0.0000 0.0867 0.0197 0.0515 0.0145 0.0000 0.0031 0.0418 0.0032
8.9 0.005 -0.61 0.0040 2.4179 0.0000 0.0534 0.0167 0.0431 0.0120 0.0000 0.0072 0.0360 0.0016
8.9 0.002 -0.57 0.0041 2.5681 0.0000 0.0535 0.0170 0.0439 0.0122 0.0000 0.0078 0.0366 0.0016
8.9 0.001 -0.56 0.0042 2.7245 0.0000 0.0551 0.0176 0.0454 0.0126 0.0000 0.0084 0.0380 0.0016
8.9 1.000 -1.58 0.6058 3.0363 0.1477 0.3127 0.0227 0.0597 0.0168 0.0000 0.0014 0.1147 0.2451
8.9 0.707 -1.45 0.0495 2.1807 0.0156 0.2066 0.0222 0.0582 0.0164 0.0000 0.0018 0.0752 0.0220
8.9 0.455 -1.31 0.0153 1.7180 0.0053 0.1427 0.0218 0.0571 0.0161 0.0000 0.0023 0.0562 0.0085
8.9 0.187 -1.05 0.0063 1.8477 0.0000 0.0914 0.0206 0.0539 0.0151 0.0000 0.0041 0.0448 0.0035
8.9 0.096 -0.86 0.0047 2.1750 0.0000 0.0691 0.0195 0.0509 0.0142 0.0000 0.0059 0.0399 0.0023
8.9 0.045 -0.65 0.0035 2.5426 0.0000 0.0490 0.0180 0.0470 0.0130 0.0000 0.0083 0.0332 0.0014
8.9 0.018 -0.43 0.0027 2.9381 0.0000 0.0347 0.0168 0.0436 0.0120 0.0000 0.0109 0.0267 0.0000
8.9 0.013 -0.30 0.0024 3.2453 0.0000 0.0293 0.0165 0.0428 0.0117 0.0000 0.0127 0.0238 0.0000
8.9 1.000 -1.33 0.5822 4.0933 0.1397 0.3346 0.0227 0.0595 0.0167 0.0000 0.0027 0.1302 0.2208
8.9 0.707 -1.21 0.0480 3.0442 0.0126 0.2160 0.0220 0.0577 0.0162 0.0000 0.0034 0.0873 0.0183
8.9 0.446 -1.06 0.0149 2.4471 0.0037 0.1393 0.0215 0.0564 0.0158 0.0000 0.0044 0.0631 0.0069
8.9 0.180 -0.79 0.0059 2.6161 0.0000 0.0783 0.0204 0.0533 0.0149 0.0000 0.0072 0.0454 0.0026
8.9 0.089 -0.58 0.0037 2.9234 0.0000 0.0496 0.0189 0.0493 0.0136 0.0000 0.0099 0.0341 0.0015
8.9 0.047 -0.40 0.0027 3.2879 0.0000 0.0342 0.0181 0.0469 0.0128 0.0000 0.0126 0.0265 0.0000
8.9 0.018 -0.15 0.0010 3.8437 0.0000 0.0211 0.0172 0.0445 0.0121 0.0000 0.0164 0.0184 0.0000
