#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 60 kK
# SED: black body 
#spherical geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135
7.1000 90000.0000 -3.7600 0.6028 0.0964 0.1400 0.0154 0.0226 0.0577 0.0163 0.0364 0.0000 0.0105
7.1000 90000.0000 -4.0100 0.5469 0.0283 0.1721 0.0109 0.0246 0.0628 0.0177 0.0272 0.0000 0.0094
7.4000 30000.0000 -1.5600 1.1594 1.4512 0.0363 0.0783 0.0211 0.0544 0.0151 0.0000 0.0000 0.0240
7.4000 30000.0000 -1.8100 1.3321 1.1716 0.0471 0.0751 0.0210 0.0539 0.0150 0.0000 0.0000 0.0229
7.4000 30000.0000 -2.0600 1.4914 0.9065 0.0624 0.0708 0.0205 0.0525 0.0147 0.0000 0.0000 0.0213
7.4000 30000.0000 -2.3100 1.6305 0.6461 0.0843 0.0650 0.0192 0.0493 0.0138 0.0000 0.0000 0.0190
7.4000 30000.0000 -2.5600 1.7239 0.4035 0.1128 0.0576 0.0176 0.0451 0.0126 0.0000 0.0000 0.0163
7.4000 30000.0000 -2.8000 1.7302 0.1939 0.1485 0.0482 0.0161 0.0413 0.0116 0.0000 0.0000 0.0136
7.4000 30000.0000 -3.0400 1.5905 0.0645 0.1915 0.0366 0.0151 0.0386 0.0108 0.0000 0.0000 0.0110
7.4000 30000.0000 -3.2700 1.3720 0.0184 0.2322 0.0254 0.0143 0.0367 0.0103 0.0000 0.0000 0.0088
7.4000 30000.0000 -3.5100 1.1533 0.0051 0.2629 0.0162 0.0136 0.0347 0.0098 0.0000 0.0000 0.0070
7.4000 30000.0000 -3.7500 0.9651 0.0015 0.2793 0.0099 0.0125 0.0319 0.0090 0.0000 0.0000 0.0055
7.4000 30000.0000 -4.0000 0.8004 0.0000 0.2867 0.0058 0.0110 0.0281 0.0080 0.0000 0.0000 0.0042
7.4000 32500.0000 -1.5700 0.9220 1.8540 0.0325 0.0814 0.0213 0.0549 0.0153 0.0000 0.0000 0.0253
7.4000 32500.0000 -1.8100 1.0888 1.5588 0.0408 0.0789 0.0213 0.0548 0.0153 0.0000 0.0000 0.0244
7.4000 32500.0000 -2.0600 1.2616 1.2662 0.0524 0.0754 0.0212 0.0545 0.0152 0.0000 0.0000 0.0233
7.4000 32500.0000 -2.3100 1.4365 0.9611 0.0694 0.0703 0.0209 0.0536 0.0150 0.0000 0.0000 0.0218
7.4000 32500.0000 -2.5500 1.5880 0.6565 0.0933 0.0635 0.0202 0.0519 0.0145 0.0000 0.0000 0.0197
7.4000 32500.0000 -2.7900 1.6811 0.3613 0.1253 0.0544 0.0193 0.0493 0.0138 0.0000 0.0000 0.0171
7.4000 32500.0000 -3.0500 1.6275 0.1275 0.1696 0.0421 0.0182 0.0467 0.0131 0.0000 0.0000 0.0140
7.4000 32500.0000 -3.2700 1.4432 0.0396 0.2120 0.0306 0.0174 0.0445 0.0125 0.0000 0.0000 0.0114
7.4000 32500.0000 -3.5100 1.2224 0.0109 0.2497 0.0202 0.0164 0.0419 0.0118 0.0000 0.0000 0.0091
7.4000 32500.0000 -3.7500 1.0217 0.0031 0.2740 0.0126 0.0150 0.0385 0.0109 0.0000 0.0000 0.0071
7.4000 32500.0000 -4.0000 0.8454 0.0000 0.2878 0.0075 0.0134 0.0342 0.0097 0.0000 0.0000 0.0054
7.4000 35000.0000 -1.5600 0.7358 2.1923 0.0305 0.0828 0.0213 0.0551 0.0153 0.0000 0.0000 0.0259
7.4000 35000.0000 -1.8100 0.8814 1.8988 0.0372 0.0811 0.0214 0.0551 0.0154 0.0000 0.0000 0.0253
7.4000 35000.0000 -2.0500 1.0458 1.5964 0.0467 0.0784 0.0214 0.0550 0.0153 0.0000 0.0000 0.0244
7.4000 35000.0000 -2.3000 1.2291 1.2683 0.0604 0.0741 0.0213 0.0547 0.0153 0.0000 0.0000 0.0232
7.4000 35000.0000 -2.5500 1.4150 0.9177 0.0806 0.0678 0.0211 0.0541 0.0151 0.0000 0.0000 0.0215
7.4000 35000.0000 -2.7900 1.5736 0.5529 0.1091 0.0591 0.0207 0.0529 0.0148 0.0000 0.0000 0.0192
7.4000 35000.0000 -3.0400 1.6236 0.2291 0.1495 0.0473 0.0200 0.0513 0.0144 0.0000 0.0000 0.0162
7.4000 35000.0000 -3.2700 1.4950 0.0745 0.1938 0.0353 0.0193 0.0494 0.0139 0.0000 0.0000 0.0134
7.4000 35000.0000 -3.5100 1.2761 0.0201 0.2375 0.0238 0.0183 0.0468 0.0132 0.0000 0.0000 0.0107
7.4000 35000.0000 -3.7500 1.0699 0.0057 0.2682 0.0152 0.0170 0.0436 0.0123 0.0000 0.0000 0.0085
7.4000 35000.0000 -4.0000 0.8841 0.0016 0.2879 0.0092 0.0154 0.0394 0.0111 0.0000 0.0000 0.0065
7.4000 37500.0000 -1.5500 0.5935 2.4824 0.0293 0.0826 0.0214 0.0552 0.0154 0.0000 0.0015 0.0260
7.4000 37500.0000 -1.7900 0.7181 2.1890 0.0351 0.0819 0.0214 0.0553 0.0154 0.0000 0.0000 0.0257
7.4000 37500.0000 -2.0500 0.8714 1.8718 0.0435 0.0800 0.0215 0.0553 0.0154 0.0000 0.0000 0.0250
7.4000 37500.0000 -2.3000 1.0465 1.5355 0.0553 0.0765 0.0215 0.0552 0.0154 0.0000 0.0000 0.0240
7.4000 37500.0000 -2.5500 1.2408 1.1641 0.0728 0.0709 0.0214 0.0549 0.0153 0.0000 0.0000 0.0225
7.4000 37500.0000 -2.7900 1.4387 0.7508 0.0985 0.0626 0.0212 0.0543 0.0152 0.0000 0.0000 0.0204
7.4000 37500.0000 -3.0300 1.5706 0.3581 0.1349 0.0515 0.0209 0.0534 0.0150 0.0000 0.0000 0.0178
7.4000 37500.0000 -3.2700 1.5147 0.1198 0.1810 0.0389 0.0203 0.0520 0.0146 0.0000 0.0000 0.0149
7.4000 37500.0000 -3.5100 1.3186 0.0332 0.2274 0.0269 0.0195 0.0500 0.0141 0.0000 0.0000 0.0121
7.4000 37500.0000 -3.7500 1.1107 0.0094 0.2629 0.0176 0.0185 0.0473 0.0133 0.0000 0.0000 0.0097
7.4000 37500.0000 -4.0000 0.9181 0.0026 0.2878 0.0108 0.0170 0.0436 0.0123 0.0000 0.0000 0.0076
7.4000 40000.0000 -1.5000 0.4783 2.7586 0.0282 0.0810 0.0213 0.0551 0.0153 0.0000 0.0024 0.0255
7.4000 40000.0000 -1.7500 0.5826 2.4633 0.0333 0.0815 0.0214 0.0553 0.0154 0.0000 0.0016 0.0256
7.4000 40000.0000 -2.0200 0.7191 2.1359 0.0407 0.0806 0.0215 0.0554 0.0154 0.0000 0.0000 0.0253
7.4000 40000.0000 -2.2700 0.8771 1.8001 0.0509 0.0782 0.0215 0.0554 0.0155 0.0000 0.0000 0.0246
7.4000 40000.0000 -2.5200 1.0681 1.4156 0.0662 0.0735 0.0215 0.0553 0.0154 0.0000 0.0000 0.0234
7.4000 40000.0000 -2.7800 1.2881 0.9668 0.0897 0.0657 0.0214 0.0550 0.0154 0.0000 0.0000 0.0214
7.4000 40000.0000 -3.0200 1.4826 0.5114 0.1235 0.0550 0.0213 0.0545 0.0153 0.0000 0.0000 0.0189
