#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 60 kK
# SED: WM-Basic (Pauldrach et al 2001) 
#plane-paralell geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135
7.1000 60000.0000 -1.7500 0.0904 1.9173 0.0140 0.0337 0.0197 0.0508 0.0141 0.0029 0.0050 0.0128
7.1000 60000.0000 -2.0000 0.1214 1.6626 0.0180 0.0365 0.0200 0.0513 0.0142 0.0023 0.0031 0.0143
7.1000 60000.0000 -2.2500 0.1696 1.4027 0.0240 0.0377 0.0202 0.0519 0.0144 0.0019 0.0017 0.0152
7.1000 60000.0000 -2.5000 0.2438 1.1372 0.0328 0.0369 0.0205 0.0526 0.0147 0.0017 0.0000 0.0153
7.1000 60000.0000 -2.7500 0.3512 0.8637 0.0453 0.0342 0.0209 0.0534 0.0150 0.0016 0.0000 0.0147
7.1000 60000.0000 -3.0000 0.4865 0.5859 0.0620 0.0300 0.0213 0.0545 0.0153 0.0015 0.0000 0.0137
7.1000 60000.0000 -3.2500 0.6120 0.3295 0.0831 0.0248 0.0218 0.0557 0.0157 0.0014 0.0000 0.0125
7.1000 60000.0000 -3.5000 0.6659 0.1449 0.1075 0.0193 0.0224 0.0572 0.0161 0.0012 0.0000 0.0113
7.1000 60000.0000 -3.7500 0.6308 0.0513 0.1331 0.0142 0.0231 0.0590 0.0167 0.0000 0.0000 0.0101
7.1000 60000.0000 -4.0000 0.5505 0.0162 0.1579 0.0099 0.0239 0.0611 0.0173 0.0000 0.0000 0.0091
7.4000 30000.0000 -1.5000 0.7100 0.0116 0.0226 0.0266 0.0030 0.0079 0.0023 0.0000 0.0000 0.0019
7.4000 30000.0000 -1.7500 0.7490 0.0051 0.0340 0.0268 0.0024 0.0062 0.0018 0.0000 0.0000 0.0014
7.4000 30000.0000 -2.0000 0.7841 0.0022 0.0507 0.0259 0.0020 0.0051 0.0015 0.0000 0.0000 0.0011
7.4000 30000.0000 -2.2500 0.8117 0.0000 0.0734 0.0238 0.0016 0.0043 0.0012 0.0000 0.0000 0.0000
7.4000 30000.0000 -2.5000 0.8248 0.0000 0.1019 0.0204 0.0014 0.0037 0.0011 0.0000 0.0000 0.0000
7.4000 30000.0000 -2.7500 0.8149 0.0000 0.1330 0.0160 0.0013 0.0034 0.0010 0.0000 0.0000 0.0000
7.4000 30000.0000 -3.0000 0.7784 0.0000 0.1610 0.0114 0.0012 0.0032 0.0000 0.0000 0.0000 0.0000
7.4000 30000.0000 -3.2500 0.7094 0.0000 0.1794 0.0074 0.0012 0.0031 0.0000 0.0000 0.0000 0.0000
7.4000 30000.0000 -3.5000 0.6224 0.0000 0.1872 0.0045 0.0011 0.0030 0.0000 0.0000 0.0000 0.0000
7.4000 30000.0000 -3.7500 0.5339 0.0000 0.1879 0.0026 0.0011 0.0029 0.0000 0.0000 0.0000 0.0000
7.4000 30000.0000 -4.0000 0.4489 0.0000 0.1845 0.0015 0.0010 0.0026 0.0000 0.0000 0.0000 0.0000
7.4000 32500.0000 -1.5000 1.4844 0.1913 0.0284 0.0534 0.0094 0.0244 0.0069 0.0000 0.0000 0.0082
