#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 60 kK
# SED: black body 
#plane-paralell geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135
7.4000 32500.0000 -1.7500 1.1711 1.4954 0.0357 0.0816 0.0213 0.0547 0.0152 0.0000 0.0000 0.0247
7.4000 32500.0000 -2.0000 1.4654 1.0839 0.0517 0.0762 0.0210 0.0539 0.0151 0.0000 0.0000 0.0231
7.4000 32500.0000 -2.2500 1.7021 0.6883 0.0750 0.0688 0.0204 0.0522 0.0146 0.0000 0.0000 0.0208
7.4000 32500.0000 -2.5000 1.8047 0.3727 0.1062 0.0595 0.0195 0.0500 0.0140 0.0000 0.0000 0.0181
7.4000 32500.0000 -2.7500 1.7523 0.1715 0.1440 0.0490 0.0187 0.0479 0.0135 0.0000 0.0000 0.0154
7.4000 32500.0000 -3.0000 1.5923 0.0680 0.1851 0.0379 0.0180 0.0461 0.0130 0.0000 0.0000 0.0129
7.4000 32500.0000 -3.2500 1.3884 0.0240 0.2244 0.0273 0.0172 0.0440 0.0124 0.0000 0.0000 0.0107
7.4000 32500.0000 -3.5000 1.1842 0.0079 0.2555 0.0184 0.0162 0.0414 0.0117 0.0000 0.0000 0.0087
7.4000 32500.0000 -3.7500 0.9968 0.0025 0.2762 0.0117 0.0149 0.0381 0.0108 0.0000 0.0000 0.0068
7.4000 32500.0000 -4.0000 0.8343 0.0000 0.2882 0.0072 0.0132 0.0339 0.0096 0.0000 0.0000 0.0053
7.4000 35000.0000 -1.5000 0.6621 2.2473 0.0227 0.0878 0.0214 0.0552 0.0154 0.0000 0.0000 0.0269
7.4000 35000.0000 -1.7500 0.8925 1.8818 0.0313 0.0849 0.0214 0.0551 0.0154 0.0000 0.0000 0.0259
7.4000 35000.0000 -2.0000 1.1708 1.4602 0.0442 0.0799 0.0214 0.0549 0.0153 0.0000 0.0000 0.0245
7.4000 35000.0000 -2.2500 1.4516 1.0121 0.0633 0.0730 0.0212 0.0544 0.0152 0.0000 0.0000 0.0226
7.4000 35000.0000 -2.5000 1.6558 0.6025 0.0901 0.0642 0.0209 0.0536 0.0150 0.0000 0.0000 0.0203
7.4000 35000.0000 -2.7500 1.7134 0.3000 0.1248 0.0539 0.0205 0.0524 0.0147 0.0000 0.0000 0.0178
7.4000 35000.0000 -3.0000 1.6232 0.1249 0.1654 0.0428 0.0199 0.0509 0.0143 0.0000 0.0000 0.0152
7.4000 35000.0000 -3.2500 1.4439 0.0447 0.2075 0.0317 0.0191 0.0490 0.0138 0.0000 0.0000 0.0126
7.4000 35000.0000 -3.5000 1.2383 0.0147 0.2441 0.0219 0.0181 0.0464 0.0131 0.0000 0.0000 0.0103
7.4000 35000.0000 -3.7500 1.0441 0.0046 0.2712 0.0142 0.0168 0.0431 0.0122 0.0000 0.0000 0.0082
7.4000 35000.0000 -4.0000 0.8730 0.0014 0.2886 0.0088 0.0153 0.0391 0.0111 0.0000 0.0000 0.0064
7.4000 37500.0000 -1.5000 0.5058 2.5454 0.0212 0.0889 0.0215 0.0554 0.0154 0.0000 0.0000 0.0274
7.4000 37500.0000 -1.7500 0.6900 2.1904 0.0286 0.0868 0.0215 0.0553 0.0154 0.0000 0.0000 0.0267
7.4000 37500.0000 -2.0000 0.9315 1.7745 0.0397 0.0825 0.0215 0.0552 0.0154 0.0000 0.0000 0.0254
7.4000 37500.0000 -2.2500 1.2120 1.3088 0.0564 0.0759 0.0214 0.0550 0.0153 0.0000 0.0000 0.0237
7.4000 37500.0000 -2.5000 1.4721 0.8420 0.0801 0.0675 0.0213 0.0546 0.0153 0.0000 0.0000 0.0216
7.4000 37500.0000 -2.7500 1.6251 0.4534 0.1119 0.0576 0.0211 0.0540 0.0151 0.0000 0.0000 0.0192
7.4000 37500.0000 -3.0000 1.6184 0.2001 0.1512 0.0466 0.0207 0.0531 0.0149 0.0000 0.0000 0.0166
7.4000 37500.0000 -3.2500 1.4793 0.0739 0.1944 0.0353 0.0202 0.0517 0.0145 0.0000 0.0000 0.0141
7.4000 37500.0000 -3.5000 1.2824 0.0244 0.2345 0.0249 0.0194 0.0497 0.0140 0.0000 0.0000 0.0116
7.4000 37500.0000 -3.7500 1.0838 0.0076 0.2663 0.0164 0.0183 0.0469 0.0133 0.0000 0.0000 0.0094
7.4000 37500.0000 -4.0000 0.9057 0.0023 0.2887 0.0104 0.0169 0.0433 0.0123 0.0000 0.0000 0.0074
7.4000 40000.0000 -1.5000 0.4000 2.7861 0.0203 0.0886 0.0215 0.0555 0.0154 0.0000 0.0014 0.0274
7.4000 40000.0000 -1.7500 0.5473 2.4364 0.0270 0.0876 0.0215 0.0554 0.0154 0.0000 0.0000 0.0270
7.4000 40000.0000 -2.0000 0.7507 2.0282 0.0370 0.0840 0.0215 0.0553 0.0154 0.0000 0.0000 0.0260
7.4000 40000.0000 -2.2500 1.0092 1.5617 0.0519 0.0780 0.0215 0.0552 0.0154 0.0000 0.0000 0.0244
7.4000 40000.0000 -2.5000 1.2886 1.0675 0.0734 0.0700 0.0215 0.0550 0.0154 0.0000 0.0000 0.0224
