#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 140 kK
# SED: WM-Basic (Pauldrach et al 2001 (30-60 kK), Rauch (80-120 kK)) 
#spherical geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135
7.1 100000 -2.33 0.1455 0.9813 0.0362 0.0219 0.0143 0.0366 0.0102 0.1004 0.0040 0.0093
7.1 100000 -2.09 0.1267 0.9848 0.0318 0.0198 0.0132 0.0339 0.0094 0.1136 0.0045 0.0084
7.1 100000 -1.85 0.1134 0.9570 0.0283 0.0178 0.0121 0.0310 0.0086 0.1289 0.0048 0.0075
7.1 100000 -1.60 0.1037 0.9035 0.0255 0.0158 0.0109 0.0280 0.0078 0.1454 0.0050 0.0067
7.1 120000 -4.00 0.5186 0.0348 0.1925 0.0109 0.0249 0.0635 0.0179 0.0542 0.0000 0.0099
7.1 120000 -3.76 0.5560 0.1125 0.1559 0.0150 0.0217 0.0555 0.0156 0.0697 0.0000 0.0106
7.1 120000 -3.52 0.4997 0.2947 0.1205 0.0199 0.0190 0.0485 0.0136 0.0863 0.0000 0.0115
7.1 120000 -3.28 0.3796 0.5310 0.0898 0.0242 0.0170 0.0433 0.0122 0.0988 0.0000 0.0122
7.1 120000 -3.04 0.2731 0.7174 0.0654 0.0255 0.0155 0.0397 0.0111 0.1065 0.0013 0.0117
7.1 120000 -2.82 0.2099 0.7936 0.0514 0.0242 0.0145 0.0370 0.0103 0.1133 0.0025 0.0105
7.1 120000 -2.58 0.1688 0.8281 0.0424 0.0222 0.0134 0.0342 0.0095 0.1229 0.0033 0.0095
7.1 120000 -2.34 0.1419 0.8346 0.0362 0.0202 0.0123 0.0314 0.0087 0.1353 0.0038 0.0085
7.1 120000 -2.10 0.1238 0.8133 0.0316 0.0182 0.0111 0.0284 0.0079 0.1499 0.0041 0.0076
7.1 120000 -1.86 0.1108 0.7662 0.0280 0.0161 0.0099 0.0253 0.0070 0.1663 0.0043 0.0068
7.1 120000 -1.62 0.1011 0.7009 0.0250 0.0143 0.0087 0.0222 0.0062 0.1833 0.0043 0.0060
7.4 30000 -3.99 0.4743 0.0000 0.1951 0.0013 0.0000 0.0025 0.0000 0.0000 0.0000 0.0000
7.4 30000 -3.74 0.5693 0.0000 0.2009 0.0023 0.0011 0.0028 0.0000 0.0000 0.0000 0.0000
7.4 30000 -3.51 0.6381 0.0000 0.1863 0.0050 0.0012 0.0030 0.0000 0.0000 0.0000 0.0000
7.4 30000 -3.27 0.7271 0.0000 0.1738 0.0086 0.0012 0.0031 0.0000 0.0000 0.0000 0.0000
7.4 30000 -3.04 0.7823 0.0000 0.1472 0.0134 0.0013 0.0033 0.0010 0.0000 0.0000 0.0000
7.4 30000 -2.79 0.7978 0.0000 0.1131 0.0183 0.0015 0.0038 0.0011 0.0000 0.0000 0.0000
7.4 30000 -2.54 0.7859 0.0028 0.0840 0.0218 0.0018 0.0046 0.0013 0.0000 0.0000 0.0011
7.4 30000 -2.29 0.7644 0.0082 0.0616 0.0239 0.0022 0.0057 0.0017 0.0000 0.0000 0.0013
7.4 30000 -2.03 0.7410 0.0193 0.0452 0.0251 0.0028 0.0072 0.0021 0.0000 0.0000 0.0017
7.4 30000 -1.78 0.7170 0.0352 0.0335 0.0257 0.0034 0.0090 0.0025 0.0000 0.0000 0.0022
7.4 30000 -1.53 0.6906 0.0562 0.0247 0.0260 0.0042 0.0109 0.0031 0.0000 0.0000 0.0028
7.4 32500 -3.99 0.6449 0.0000 0.2490 0.0029 0.0027 0.0068 0.0020 0.0000 0.0000 0.0000
7.4 32500 -3.74 0.7767 0.0000 0.2512 0.0052 0.0029 0.0075 0.0022 0.0000 0.0000 0.0012
7.4 32500 -3.51 0.9562 0.0000 0.2435 0.0107 0.0040 0.0104 0.0030 0.0000 0.0000 0.0019
7.4 32500 -3.28 1.1380 0.0012 0.2211 0.0177 0.0042 0.0108 0.0031 0.0000 0.0000 0.0023
7.4 32500 -3.05 1.3108 0.0041 0.1853 0.0264 0.0045 0.0115 0.0033 0.0000 0.0000 0.0028
7.4 32500 -2.79 1.4408 0.0162 0.1390 0.0355 0.0050 0.0128 0.0036 0.0000 0.0000 0.0036
7.4 32500 -2.55 1.4854 0.0453 0.1039 0.0416 0.0058 0.0149 0.0042 0.0000 0.0000 0.0045
7.4 32500 -2.29 1.4846 0.0967 0.0776 0.0459 0.0069 0.0177 0.0050 0.0000 0.0000 0.0056
7.4 32500 -2.04 1.4561 0.1683 0.0582 0.0491 0.0082 0.0212 0.0060 0.0000 0.0000 0.0070
7.4 32500 -1.79 1.4086 0.2552 0.0442 0.0513 0.0097 0.0250 0.0071 0.0000 0.0000 0.0086
7.4 32500 -1.54 1.3373 0.3657 0.0336 0.0530 0.0112 0.0291 0.0081 0.0000 0.0000 0.0104
7.4 35000 -3.99 0.7859 0.0000 0.2764 0.0059 0.0062 0.0159 0.0045 0.0000 0.0000 0.0023
7.4 35000 -3.74 0.9481 0.0000 0.2682 0.0101 0.0070 0.0179 0.0051 0.0000 0.0000 0.0030
7.4 35000 -3.51 1.1904 0.0040 0.2486 0.0187 0.0110 0.0282 0.0080 0.0000 0.0000 0.0058
