#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -2.5 - -0.5
# SED: double composite AGN power law, a(UV) = -1.5, a(ox) = -1.2
# Plane-parallel geometry
#
#12+log(O/H) log(N/O) log(U) OII_3727 NeIII_3868 OIII_4363 OIII_5007 NII_6584 SII_6717,31
6.90 -0.250 -0.75 0.0807 0.0313 0.0000 0.0172 0.1726 0.1995
6.90 -0.250 -0.50 0.0847 0.0290 0.0000 0.0119 0.1713 0.2596
6.90 -0.125 -2.50 0.1038 0.0566 0.0140 0.4734 0.1767 0.0525
6.90 -0.125 -2.25 0.0801 0.0516 0.0147 0.4475 0.1633 0.0470
6.90 -0.125 -2.00 0.0656 0.0440 0.0131 0.3670 0.1618 0.0476
6.90 -0.125 -1.75 0.0589 0.0368 0.0094 0.2540 0.1706 0.0483
6.90 -0.125 -1.50 0.0591 0.0323 0.0054 0.1472 0.1879 0.0537
6.90 -0.125 -1.25 0.0648 0.0315 0.0025 0.0732 0.2096 0.0661
6.90 -0.125 -1.00 0.0740 0.0327 0.0011 0.0336 0.2269 0.1131
6.90 -0.125 -0.75 0.0807 0.0314 0.0000 0.0172 0.2303 0.1983
6.90 -0.125 -0.50 0.0847 0.0290 0.0000 0.0119 0.2284 0.2594
6.90 0.000 -2.50 0.1036 0.0562 0.0137 0.4692 0.2357 0.0536
6.90 0.000 -2.25 0.0801 0.0513 0.0144 0.4445 0.2180 0.0474
6.90 0.000 -2.00 0.0658 0.0440 0.0128 0.3654 0.2161 0.0484
6.90 0.000 -1.75 0.0591 0.0369 0.0093 0.2537 0.2278 0.0492
6.90 0.000 -1.50 0.0593 0.0323 0.0053 0.1474 0.2505 0.0543
6.90 0.000 -1.25 0.0648 0.0315 0.0025 0.0732 0.2793 0.0663
6.90 0.000 -1.00 0.0740 0.0326 0.0011 0.0336 0.3022 0.1135
6.90 0.000 -0.75 0.0807 0.0313 0.0000 0.0172 0.3068 0.1984
6.90 0.000 -0.50 0.0847 0.0289 0.0000 0.0119 0.3045 0.2590
