#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, f_abs: 0.01 - 1.0
# SED: BPASS v.2.1 (Eldridge et al 2017), alpha(IMF) = -1.35, M_up = 300, age = 4 Myr, Z_* = 1e-5
# Spherical geometry
#
12+log(O/H) f_abs log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135 NII_6584	CIV_1549	CIII_1909
7.4 0.098 -3.05 0.4749 1.7528 0.0621 0.0652 0.0191 0.0488 0.0136 0.0105 0.0000 0.0216 0.0118 0.0256 0.4600
7.4 0.062 -3.04 0.4607 1.7295 0.0594 0.0639 0.0184 0.0469 0.0130 0.0132 0.0000 0.0211 0.0113 0.0264 0.4608
7.4 0.026 -3.02 0.4661 1.7535 0.0589 0.0645 0.0182 0.0461 0.0128 0.0201 0.0000 0.0213 0.0113 0.0280 0.4765
7.4 0.020 -3.02 0.3858 1.4506 0.0482 0.0532 0.0149 0.0377 0.0104 0.0231 0.0000 0.0176 0.0093 0.0236 0.3984
7.4 1.000 -3.03 0.6504 1.4805 0.1146 0.0578 0.0216 0.0552 0.0155 0.0021 0.0000 0.0207 0.0238 0.0374 0.4263
7.4 0.764 -2.97 0.5107 1.8708 0.0623 0.0665 0.0203 0.0519 0.0145 0.0027 0.0000 0.0220 0.0145 0.0487 0.5224
7.4 0.490 -2.88 0.3061 2.2481 0.0434 0.0706 0.0203 0.0519 0.0144 0.0041 0.0014 0.0226 0.0073 0.0715 0.6271
7.4 0.199 -2.75 0.1952 2.5368 0.0304 0.0713 0.0198 0.0505 0.0140 0.0093 0.0021 0.0224 0.0041 0.1204 0.7546
7.4 0.101 -2.68 0.1685 2.6047 0.0262 0.0699 0.0191 0.0488 0.0135 0.0161 0.0024 0.0219 0.0034 0.1544 0.8086
7.4 0.053 -2.63 0.1518 2.5292 0.0232 0.0662 0.0177 0.0452 0.0125 0.0243 0.0025 0.0207 0.0030 0.1773 0.8102
7.4 0.019 -2.60 0.1365 2.3824 0.0204 0.0612 0.0160 0.0407 0.0112 0.0405 0.0024 0.0192 0.0027 0.1963 0.7822
7.4 0.014 -2.59 0.1241 2.1782 0.0185 0.0557 0.0144 0.0366 0.0100 0.0512 0.0022 0.0175 0.0024 0.1885 0.7212
7.4 1.000 -2.78 0.4857 1.9716 0.0860 0.0593 0.0211 0.0542 0.0151 0.0025 0.0021 0.0203 0.0176 0.1387 0.6109
7.4 0.763 -2.72 0.2997 2.4603 0.0380 0.0667 0.0201 0.0515 0.0143 0.0033 0.0027 0.0212 0.0077 0.1813 0.7504
7.4 0.477 -2.61 0.1455 2.8948 0.0218 0.0674 0.0202 0.0516 0.0143 0.0052 0.0040 0.0208 0.0030 0.2748 0.9135
7.4 0.189 -2.41 0.0765 3.2966 0.0112 0.0617 0.0195 0.0499 0.0138 0.0125 0.0064 0.0181 0.0013 0.5061 1.1259
7.4 0.103 -2.30 0.0607 3.4275 0.0083 0.0575 0.0187 0.0479 0.0131 0.0219 0.0076 0.0165 0.0000 0.6696 1.2166
7.4 0.049 -2.20 0.0488 3.3929 0.0062 0.0516 0.0170 0.0435 0.0119 0.0414 0.0084 0.0145 0.0000 0.8423 1.2490
7.4 0.020 -2.13 0.0395 3.0981 0.0048 0.0444 0.0143 0.0366 0.0100 0.0735 0.0081 0.0124 0.0000 0.9727 1.1787
7.4 0.013 -2.10 0.0343 2.8052 0.0041 0.0395 0.0126 0.0320 0.0087 0.1015 0.0075 0.0110 0.0000 1.0387 1.0840
7.4 1.000 -2.54 0.3828 2.3757 0.0685 0.0567 0.0208 0.0533 0.0148 0.0032 0.0038 0.0190 0.0138 0.3261 0.7582
7.4 0.806 -2.49 0.2218 2.8397 0.0283 0.0617 0.0199 0.0509 0.0141 0.0039 0.0047 0.0194 0.0055 0.4044 0.8993
7.4 0.506 -2.37 0.0902 3.3549 0.0130 0.0590 0.0200 0.0511 0.0141 0.0062 0.0070 0.0177 0.0016 0.6213 1.0989
7.4 0.228 -2.17 0.0439 3.8308 0.0054 0.0486 0.0194 0.0498 0.0137 0.0135 0.0106 0.0136 0.0000 1.1301 1.2989
7.4 0.102 -1.99 0.0280 4.1600 0.0026 0.0389 0.0185 0.0474 0.0129 0.0294 0.0136 0.0103 0.0000 1.8118 1.4218
7.4 0.055 -1.85 0.0206 4.1423 0.0000 0.0314 0.0166 0.0427 0.0116 0.0531 0.0147 0.0081 0.0000 2.3462 1.4156
7.4 0.021 -1.68 0.0138 3.7717 0.0000 0.0233 0.0126 0.0323 0.0087 0.1262 0.0149 0.0059 0.0000 3.0356 1.3232
7.4 0.013 -1.61 0.0105 3.2027 0.0000 0.0188 0.0095 0.0244 0.0066 0.1900 0.0134 0.0047 0.0000 3.2159 1.1659
7.4 1.000 -2.29 0.3109 2.7179 0.0567 0.0526 0.0204 0.0526 0.0146 0.0043 0.0055 0.0176 0.0112 0.5263 0.8611
7.4 0.808 -2.24 0.1524 3.2135 0.0202 0.0557 0.0196 0.0503 0.0139 0.0053 0.0068 0.0175 0.0035 0.6506 1.0147
7.4 0.517 -2.13 0.0603 3.7573 0.0079 0.0500 0.0197 0.0505 0.0139 0.0082 0.0099 0.0148 0.0000 0.9854 1.2104
7.4 0.217 -1.91 0.0262 4.3631 0.0025 0.0356 0.0191 0.0491 0.0134 0.0191 0.0148 0.0096 0.0000 1.9311 1.3683
7.4 0.108 -1.72 0.0161 4.6368 0.0000 0.0252 0.0179 0.0461 0.0125 0.0378 0.0177 0.0066 0.0000 3.0058 1.3700
7.4 0.051 -1.53 0.0101 4.6473 0.0000 0.0167 0.0157 0.0404 0.0109 0.0775 0.0194 0.0044 0.0000 4.3411 1.2734
7.4 0.022 -1.33 0.0061 4.1869 0.0000 0.0105 0.0114 0.0294 0.0078 0.1714 0.0195 0.0028 0.0000 5.7928 1.1058
7.4 0.013 -1.20 0.0040 3.4530 0.0000 0.0077 0.0072 0.0185 0.0049 0.2879 0.0184 0.0021 0.0000 6.6285 0.9671
7.4 1.000 -2.10 0.2681 2.9558 0.0498 0.0490 0.0202 0.0519 0.0144 0.0055 0.0069 0.0164 0.0096 0.6602 0.9199
7.4 0.750 -2.03 0.0920 3.5961 0.0123 0.0497 0.0194 0.0498 0.0137 0.0073 0.0091 0.0155 0.0018 0.8770 1.1219
7.4 0.472 -1.91 0.0399 4.1341 0.0047 0.0414 0.0194 0.0498 0.0137 0.0115 0.0127 0.0120 0.0000 1.3329 1.2883
7.4 0.189 -1.67 0.0171 4.7749 0.0000 0.0258 0.0187 0.0480 0.0130 0.0281 0.0181 0.0069 0.0000 2.6525 1.3544
7.4 0.094 -1.48 0.0102 4.9755 0.0000 0.0164 0.0172 0.0442 0.0119 0.0554 0.0207 0.0044 0.0000 4.0649 1.2501
7.4 0.048 -1.29 0.0061 4.8023 0.0000 0.0097 0.0145 0.0375 0.0100 0.1073 0.0217 0.0027 0.0000 5.6809 1.0565
7.4 0.019 -1.05 0.0031 3.9316 0.0000 0.0048 0.0089 0.0229 0.0061 0.2506 0.0212 0.0015 0.0000 7.8540 0.8065
7.4 0.012 -0.90 0.0010 3.0442 0.0000 0.0034 0.0045 0.0117 0.0031 0.4220 0.0209 0.0011 0.0000 9.6510 0.7018
7.4 1.000 -1.79 0.2180 3.2858 0.0416 0.0432 0.0197 0.0509 0.0141 0.0081 0.0089 0.0146 0.0079 0.8472 0.9803
7.4 0.784 -1.74 0.0713 3.8875 0.0098 0.0423 0.0190 0.0489 0.0134 0.0104 0.0113 0.0134 0.0013 1.0781 1.1597
7.4 0.497 -1.63 0.0287 4.5057 0.0030 0.0328 0.0190 0.0488 0.0133 0.0163 0.0156 0.0095 0.0000 1.6264 1.3170
