#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, f_abs: 0.01 - 1.0
# SED: Black-body, T = 1e5 K
# Spherical geometry
#
12+log(O/H) f_abs log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135 NII_6584	CIV_1549	CIII_1909
7.1 0.017 -0.89 0.0000 0.0311 0.0000 0.0013 0.0000 0.0000 0.0000 0.4288 0.0022 0.0000 0.0000 1.6922 0.0478
7.1 0.014 -0.75 0.0000 0.0215 0.0000 0.0000 0.0000 0.0000 0.0000 0.4641 0.0016 0.0000 0.0000 1.5245 0.0288
7.1 1.000 -1.60 0.0907 0.8243 0.0184 0.0173 0.0101 0.0259 0.0072 0.1679 0.0047 0.0069 0.0034 0.8114 0.3926
7.1 0.673 -1.51 0.0125 0.8117 0.0012 0.0134 0.0055 0.0140 0.0038 0.2489 0.0066 0.0044 0.0000 1.1905 0.4593
7.1 0.420 -1.41 0.0011 0.3608 0.0000 0.0085 0.0000 0.0022 0.0000 0.3449 0.0071 0.0019 0.0000 1.6655 0.3880
7.1 0.166 -1.19 0.0000 0.1010 0.0000 0.0040 0.0000 0.0000 0.0000 0.3653 0.0052 0.0000 0.0000 2.0772 0.1952
7.1 0.089 -1.05 0.0000 0.0609 0.0000 0.0026 0.0000 0.0000 0.0000 0.3779 0.0038 0.0000 0.0000 1.9866 0.1173
7.1 0.043 -0.88 0.0000 0.0361 0.0000 0.0015 0.0000 0.0000 0.0000 0.4014 0.0025 0.0000 0.0000 1.6988 0.0601
7.1 0.018 -0.68 0.0000 0.0196 0.0000 0.0000 0.0000 0.0000 0.0000 0.4482 0.0014 0.0000 0.0000 1.3816 0.0262
7.1 0.013 -0.50 0.0000 0.0108 0.0000 0.0000 0.0000 0.0000 0.0000 0.4981 0.0000 0.0000 0.0000 1.1823 0.0122
7.4 1.000 -4.01 1.0562 0.0606 0.3546 0.0216 0.0247 0.0631 0.0178 0.0412 0.0000 0.0151 0.0557 0.0000 0.0528
7.4 0.787 -4.00 1.1563 0.0720 0.2596 0.0241 0.0206 0.0524 0.0148 0.0388 0.0000 0.0149 0.0552 0.0000 0.0609
7.4 0.493 -3.99 1.2474 0.0992 0.2330 0.0273 0.0194 0.0494 0.0139 0.0402 0.0000 0.0151 0.0548 0.0000 0.0725
7.4 0.207 -3.97 1.3054 0.1262 0.2238 0.0298 0.0190 0.0482 0.0135 0.0424 0.0000 0.0156 0.0552 0.0000 0.0833
7.4 0.099 -3.97 1.3225 0.1291 0.2208 0.0305 0.0188 0.0478 0.0134 0.0437 0.0000 0.0157 0.0554 0.0000 0.0876
7.4 0.066 -3.97 1.3264 0.1272 0.2194 0.0306 0.0185 0.0468 0.0131 0.0439 0.0000 0.0157 0.0554 0.0000 0.0889
