#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -4.0 - -1.5 (O/H vs. log U and vs N/O empirically constrained)
# SED: POPSTAR, Chabrier IMF, age = 1 Myr
# Plane-parallel geometry
#
#12+log(O/H) log(N/O) log(U) HI_4.05m HI_7.46m SIV_10.5m HI_12.4m NeII_12.8m NeIII_15.5m SIII_18.7m SIII_33.7m OIII_52m NIII_57m OIII_88m NII_121.8m
8.30 -1.250 -2.75 0.0684 0.0208 0.1076 0.0077 0.0556 0.3362 0.3630 0.3695 0.9316 0.0664 0.5364 0.0038
8.30 -1.250 -2.50 0.0680 0.0207 0.2223 0.0076 0.0354 0.3665 0.3718 0.3772 1.1179 0.0775 0.6362 0.0025
8.30 -1.125 -3.00 0.0687 0.0209 0.0456 0.0077 0.0847 0.2951 0.3353 0.3430 0.6817 0.0666 0.3953 0.0074
8.30 -1.125 -2.75 0.0684 0.0208 0.1074 0.0077 0.0557 0.3355 0.3623 0.3689 0.9299 0.0884 0.5352 0.0050
8.30 -1.125 -2.50 0.0680 0.0207 0.2219 0.0076 0.0354 0.3659 0.3712 0.3766 1.1162 0.1032 0.6350 0.0033
8.30 -1.000 -3.00 0.0688 0.0209 0.0454 0.0077 0.0847 0.2942 0.3343 0.3419 0.6796 0.0885 0.3938 0.0099
8.30 -1.000 -2.75 0.0685 0.0208 0.1070 0.0077 0.0558 0.3347 0.3614 0.3680 0.9276 0.1175 0.5336 0.0067
8.30 -1.000 -2.50 0.0681 0.0207 0.2214 0.0076 0.0355 0.3651 0.3704 0.3759 1.1139 0.1373 0.6334 0.0044
8.40 -1.500 -3.00 0.0699 0.0213 0.0504 0.0079 0.1123 0.3451 0.4024 0.4121 0.7982 0.0329 0.4578 0.0039
8.40 -1.500 -2.75 0.0696 0.0212 0.1197 0.0078 0.0748 0.3968 0.4357 0.4444 1.0991 0.0442 0.6243 0.0026
