#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -4.0 - -1.5 (O/H vs log U empirically constrained)
# SED: POPSTAR, Chabrier IMF, age = 1 Myr
# Plane-parallel geometry
#
#12+log(O/H) log(N/O) log(U) HI_4.05m HI_7.46m SIV_10.5m HI_12.4m NeII_12.8m NeIII_15.5m SIII_18.7m SIII_33.7m OIII_52m NIII_57m OIII_88m NII_121.8m
7.10 -1.875 -2.25 0.0593 0.0176 0.0387 0.0065 0.0000 0.0309 0.0281 0.0276 0.1038 0.0015 0.0639 0.0000
7.10 -1.875 -2.00 0.0584 0.0173 0.0587 0.0064 0.0000 0.0322 0.0258 0.0252 0.1122 0.0015 0.0692 0.0000
7.10 -1.750 -2.50 0.0602 0.0179 0.0226 0.0066 0.0015 0.0294 0.0290 0.0286 0.0929 0.0020 0.0570 0.0000
7.10 -1.750 -2.25 0.0593 0.0176 0.0387 0.0065 0.0000 0.0309 0.0281 0.0276 0.1038 0.0021 0.0639 0.0000
7.10 -1.750 -2.00 0.0584 0.0173 0.0587 0.0064 0.0000 0.0322 0.0258 0.0252 0.1122 0.0020 0.0692 0.0000
7.10 -1.625 -2.50 0.0602 0.0179 0.0226 0.0066 0.0015 0.0294 0.0290 0.0286 0.0929 0.0026 0.0570 0.0000
7.10 -1.625 -2.25 0.0593 0.0176 0.0387 0.0065 0.0000 0.0309 0.0281 0.0276 0.1038 0.0027 0.0639 0.0000
7.10 -1.625 -2.00 0.0584 0.0173 0.0587 0.0064 0.0000 0.0322 0.0258 0.0252 0.1122 0.0027 0.0692 0.0000
7.10 -1.500 -2.50 0.0602 0.0179 0.0226 0.0066 0.0015 0.0294 0.0290 0.0286 0.0929 0.0035 0.0570 0.0000
7.10 -1.500 -2.25 0.0593 0.0176 0.0387 0.0065 0.0000 0.0309 0.0281 0.0276 0.1038 0.0036 0.0639 0.0000
7.10 -1.500 -2.00 0.0584 0.0173 0.0587 0.0064 0.0000 0.0322 0.0258 0.0252 0.1122 0.0036 0.0692 0.0000
7.10 -1.375 -2.50 0.0602 0.0179 0.0226 0.0066 0.0015 0.0294 0.0290 0.0286 0.0929 0.0047 0.0570 0.0000
7.10 -1.375 -2.25 0.0593 0.0176 0.0387 0.0065 0.0000 0.0309 0.0281 0.0275 0.1038 0.0049 0.0639 0.0000
7.10 -1.375 -2.00 0.0584 0.0173 0.0587 0.0064 0.0000 0.0322 0.0258 0.0252 0.1122 0.0048 0.0692 0.0000
7.10 -1.250 -2.50 0.0602 0.0179 0.0226 0.0066 0.0015 0.0294 0.0290 0.0286 0.0929 0.0062 0.0570 0.0000
7.10 -1.250 -2.25 0.0593 0.0176 0.0387 0.0065 0.0000 0.0309 0.0281 0.0275 0.1038 0.0065 0.0639 0.0000
7.10 -1.250 -2.00 0.0584 0.0173 0.0587 0.0064 0.0000 0.0322 0.0258 0.0252 0.1122 0.0064 0.0692 0.0000
7.10 -1.125 -2.50 0.0602 0.0179 0.0226 0.0066 0.0015 0.0294 0.0290 0.0286 0.0929 0.0083 0.0570 0.0000
7.10 -1.125 -2.25 0.0593 0.0176 0.0387 0.0065 0.0000 0.0309 0.0281 0.0275 0.1038 0.0086 0.0639 0.0000
7.10 -1.125 -2.00 0.0584 0.0173 0.0587 0.0064 0.0000 0.0322 0.0258 0.0252 0.1122 0.0085 0.0692 0.0000
7.10 -1.000 -2.50 0.0602 0.0179 0.0226 0.0066 0.0015 0.0294 0.0290 0.0286 0.0929 0.0111 0.0570 0.0000
7.10 -1.000 -2.25 0.0593 0.0176 0.0387 0.0065 0.0000 0.0309 0.0281 0.0275 0.1038 0.0115 0.0639 0.0000
7.10 -1.000 -2.00 0.0584 0.0173 0.0587 0.0064 0.0000 0.0322 0.0258 0.0252 0.1122 0.0113 0.0692 0.0000
7.10 -0.875 -2.50 0.0602 0.0179 0.0226 0.0066 0.0015 0.0294 0.0290 0.0286 0.0929 0.0147 0.0570 0.0000
7.10 -0.875 -2.25 0.0593 0.0176 0.0387 0.0065 0.0000 0.0309 0.0281 0.0275 0.1038 0.0154 0.0639 0.0000
7.10 -0.875 -2.00 0.0584 0.0173 0.0587 0.0064 0.0000 0.0322 0.0258 0.0252 0.1122 0.0151 0.0692 0.0000
7.10 -0.750 -2.50 0.0602 0.0179 0.0226 0.0066 0.0015 0.0294 0.0290 0.0286 0.0928 0.0197 0.0570 0.0000
7.10 -0.750 -2.25 0.0593 0.0176 0.0387 0.0065 0.0000 0.0309 0.0281 0.0275 0.1038 0.0205 0.0639 0.0000
7.10 -0.750 -2.00 0.0584 0.0173 0.0587 0.0064 0.0000 0.0322 0.0258 0.0252 0.1122 0.0201 0.0692 0.0000
7.10 -0.625 -2.50 0.0602 0.0179 0.0226 0.0066 0.0015 0.0294 0.0290 0.0286 0.0928 0.0262 0.0570 0.0000
7.10 -0.625 -2.25 0.0593 0.0176 0.0387 0.0065 0.0000 0.0309 0.0280 0.0275 0.1038 0.0273 0.0639 0.0000
7.10 -0.625 -2.00 0.0584 0.0173 0.0587 0.0064 0.0000 0.0322 0.0258 0.0252 0.1122 0.0268 0.0692 0.0000
7.10 -0.500 -2.50 0.0602 0.0179 0.0226 0.0066 0.0015 0.0294 0.0290 0.0286 0.0928 0.0350 0.0570 0.0000
7.10 -0.500 -2.25 0.0593 0.0176 0.0387 0.0065 0.0000 0.0309 0.0280 0.0275 0.1038 0.0364 0.0639 0.0000
7.10 -0.500 -2.00 0.0584 0.0173 0.0587 0.0064 0.0000 0.0322 0.0257 0.0252 0.1122 0.0357 0.0692 0.0000
7.10 -0.375 -2.50 0.0602 0.0179 0.0226 0.0066 0.0015 0.0294 0.0290 0.0286 0.0928 0.0466 0.0570 0.0012
7.10 -0.375 -2.25 0.0593 0.0176 0.0387 0.0065 0.0000 0.0309 0.0280 0.0275 0.1037 0.0485 0.0638 0.0000
7.10 -0.375 -2.00 0.0585 0.0173 0.0587 0.0064 0.0000 0.0322 0.0257 0.0252 0.1121 0.0476 0.0691 0.0000
7.10 -0.250 -2.50 0.0602 0.0179 0.0226 0.0066 0.0015 0.0293 0.0290 0.0286 0.0928 0.0621 0.0570 0.0016
7.10 -0.250 -2.25 0.0594 0.0176 0.0387 0.0065 0.0000 0.0309 0.0280 0.0275 0.1037 0.0647 0.0638 0.0011
7.10 -0.250 -2.00 0.0585 0.0173 0.0587 0.0064 0.0000 0.0322 0.0257 0.0252 0.1121 0.0634 0.0691 0.0000
