#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 90 kK
# SED: Black-body
#Spherical geometry
#
#12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_5876 He2_4686
7.4 80000.0 -2.54 0.4037 2.1879 0.0668 0.0592 0.0485 0.0419
7.4 70000.0 -2.53 0.4393 2.2876 0.0638 0.0646 0.0519 0.021
7.4 60000.0 -2.51 0.5098 2.2564 0.0605 0.0703 0.0542 0.008
7.4 30000.0 -2.31 1.6312 0.6461 0.0843 0.065 0.0493 0.0
7.4 32500.0 -2.31 1.4374 0.9611 0.0695 0.0703 0.0536 0.0
7.4 35000.0 -2.3 1.2302 1.2683 0.0605 0.0741 0.0547 0.0
7.4 37500.0 -2.3 1.0477 1.5355 0.0553 0.0765 0.0552 0.0
7.4 40000.0 -2.27 0.8783 1.8001 0.0509 0.0782 0.0554 0.0
7.4 45000.0 -2.26 0.6676 2.1439 0.0482 0.0782 0.0554 0.0
7.4 50000.0 -2.26 0.5379 2.3777 0.0477 0.0761 0.0551 0.0025
7.4 55000.0 -2.26 0.4584 2.5209 0.0485 0.0727 0.0545 0.0055
7.4 90000.0 -2.3 0.3119 2.1364 0.0573 0.0508 0.0419 0.0814
7.4 80000.0 -2.29 0.3271 2.3914 0.0555 0.0557 0.0467 0.0501
7.4 70000.0 -2.28 0.3534 2.5671 0.0529 0.0617 0.0507 0.0259
7.4 60000.0 -2.26 0.4067 2.5967 0.0497 0.0689 0.0535 0.0102
7.4 30000.0 -2.06 1.4923 0.9065 0.0624 0.0708 0.0525 0.0
7.4 32500.0 -2.06 1.2627 1.2662 0.0524 0.0754 0.0545 0.0
7.4 35000.0 -2.05 1.047 1.5964 0.0466 0.0784 0.055 0.0
7.4 37500.0 -2.05 0.8727 1.8718 0.0435 0.08 0.0553 0.0
7.4 90000.0 -2.12 0.2707 2.181 0.0506 0.0476 0.0399 0.0918
7.4 80000.0 -2.11 0.2832 2.4987 0.0492 0.0525 0.0452 0.0578
7.4 70000.0 -2.09 0.3044 2.7357 0.0469 0.0587 0.0496 0.0307
7.4 60000.0 -2.07 0.3477 2.8138 0.0439 0.0666 0.0529 0.0125
7.4 55000.0 -2.06 0.387 2.7696 0.0423 0.071 0.054 0.0069
7.4 50000.0 -2.05 0.4486 2.6538 0.0409 0.0754 0.0548 0.0033
7.4 40000.0 -2.02 0.7204 2.1359 0.0407 0.0806 0.0554 0.0
7.4 45000.0 -2.01 0.5373 2.4861 0.0393 0.0789 0.0552 0.0013
7.4 30000.0 -1.81 1.333 1.1716 0.0471 0.0751 0.0539 0.0
7.4 32500.0 -1.81 1.0899 1.5588 0.0408 0.0789 0.0548 0.0
7.4 35000.0 -1.81 0.8826 1.8988 0.0372 0.0811 0.0551 0.0
7.4 37500.0 -1.79 0.7195 2.189 0.0351 0.0819 0.0553 0.0
7.4 50000.0 -1.79 0.3649 2.9557 0.0349 0.073 0.0543 0.0046
7.4 40000.0 -1.75 0.584 2.4633 0.0332 0.0815 0.0553 0.0
7.4 45000.0 -1.75 0.4369 2.7955 0.0332 0.0779 0.055 0.0019
7.4 55000.0 -1.75 0.3037 3.1066 0.0354 0.0668 0.0531 0.01
7.4 90000.0 -1.81 0.2176 2.1614 0.0419 0.0419 0.0361 0.1125
7.4 80000.0 -1.79 0.2272 2.5877 0.0411 0.0467 0.0422 0.0737
7.4 70000.0 -1.77 0.2423 2.9455 0.0394 0.0529 0.0475 0.0411
7.4 60000.0 -1.75 0.2729 3.126 0.0368 0.0614 0.0516 0.0179
7.4 30000.0 -1.56 1.1605 1.4512 0.0363 0.0783 0.0544 0.0
7.4 32500.0 -1.57 0.9232 1.854 0.0325 0.0814 0.0549 0.0
7.4 35000.0 -1.56 0.7372 2.1923 0.0305 0.0828 0.0551 0.0
7.4 37500.0 -1.55 0.595 2.4824 0.0293 0.0826 0.0552 0.0
7.4 40000.0 -1.5 0.4798 2.7586 0.0282 0.081 0.0551 0.0
7.4 45000.0 -1.5 0.3605 3.0772 0.0289 0.0755 0.0546 0.0027
7.4 50000.0 -1.49 0.2932 3.2676 0.0301 0.0688 0.0536 0.0068
7.4 55000.0 -1.5 0.2547 3.3415 0.0315 0.0624 0.0522 0.0136
7.4 90000.0 -1.56 0.1861 2.0683 0.0366 0.0375 0.0328 0.1311
7.4 80000.0 -1.54 0.1944 2.5747 0.0362 0.0421 0.0394 0.0888
7.4 70000.0 -1.52 0.2062 3.043 0.035 0.0482 0.0454 0.0516
7.4 60000.0 -1.49 0.2297 3.3261 0.0328 0.0566 0.0503 0.0236
7.7 90000.0 -4.01 2.0118 0.1037 0.6637 0.0416 0.0639 0.0273
7.7 80000.0 -4.01 1.9994 0.0875 0.6329 0.0408 0.0635 0.0158
7.7 70000.0 -4.01 1.9694 0.0669 0.6017 0.0392 0.0623 0.0075
7.7 60000.0 -4.01 1.911 0.0439 0.5718 0.0363 0.0599 0.0026
7.7 55000.0 -4.01 1.8646 0.0325 0.5585 0.034 0.058 0.0013
7.7 30000.0 -4.0 1.2437 0.0 0.5001 0.0101 0.0281 0.0
7.7 32500.0 -4.0 1.3501 0.0014 0.5104 0.0131 0.0343 0.0
7.7 35000.0 -4.0 1.4441 0.0026 0.5176 0.0163 0.0395 0.0
7.7 37500.0 -4.0 1.5274 0.0044 0.5232 0.0193 0.0438 0.0
7.7 40000.0 -4.0 1.5991 0.0067 0.5277 0.0222 0.0472 0.0
7.7 50000.0 -4.0 1.8015 0.022 0.5467 0.031 0.0556 0.0
7.7 45000.0 -4.0 1.7153 0.0132 0.5367 0.0271 0.0522 0.0
7.7 90000.0 -3.76 2.2178 0.3515 0.5409 0.0589 0.0588 0.0367
7.7 80000.0 -3.76 2.2329 0.3006 0.5188 0.0583 0.0597 0.0215
7.7 70000.0 -3.76 2.2404 0.2333 0.4977 0.0568 0.0598 0.0103
7.7 60000.0 -3.76 2.2183 0.1548 0.4799 0.0535 0.0589 0.0037
7.7 55000.0 -3.76 2.1859 0.1157 0.4731 0.0508 0.0579 0.0019
7.7 30000.0 -3.75 1.4914 0.0024 0.487 0.017 0.032 0.0
7.7 32500.0 -3.75 1.6206 0.005 0.4855 0.022 0.0387 0.0
7.7 50000.0 -3.75 2.1321 0.0792 0.4693 0.0471 0.0563 0.0
7.7 35000.0 -3.75 1.7345 0.0094 0.4818 0.0268 0.0438 0.0
7.7 45000.0 -3.75 2.0456 0.0478 0.4693 0.0421 0.054 0.0
7.7 37500.0 -3.75 1.833 0.0157 0.4775 0.0314 0.0475 0.0
7.7 40000.0 -3.75 1.9168 0.0242 0.4738 0.0354 0.0503 0.0
7.7 30000.0 -3.51 1.7636 0.0079 0.4572 0.0276 0.035 0.0
7.7 32500.0 -3.51 1.914 0.0173 0.4414 0.0349 0.0421 0.0
7.7 35000.0 -3.51 2.0447 0.0325 0.4259 0.0417 0.0471 0.0
7.7 37500.0 -3.51 2.1518 0.0546 0.4125 0.0478 0.0504 0.0
7.7 40000.0 -3.5 2.2465 0.0872 0.3992 0.0536 0.0526 0.0
7.7 55000.0 -3.5 2.3765 0.3949 0.374 0.0721 0.0574 0.0024
7.7 50000.0 -3.5 2.3885 0.2806 0.3751 0.0681 0.0566 0.0011
7.7 45000.0 -3.5 2.3559 0.1753 0.3818 0.0624 0.0552 0.0
7.7 90000.0 -3.51 2.0693 1.0013 0.4146 0.0802 0.0543 0.0466
7.7 80000.0 -3.5 2.1424 0.8909 0.3991 0.0799 0.0564 0.0273
7.7 70000.0 -3.5 2.2362 0.7344 0.3844 0.0787 0.0576 0.0132
7.7 60000.0 -3.5 2.3392 0.5269 0.3732 0.0756 0.0578 0.0048
7.7 32500.0 -3.27 2.2259 0.0614 0.3738 0.0526 0.0449 0.0
7.7 30000.0 -3.26 2.0618 0.028 0.4024 0.043 0.037 0.0
7.7 35000.0 -3.26 2.3539 0.1178 0.3462 0.0616 0.0498 0.0
7.7 37500.0 -3.26 2.4308 0.1924 0.3269 0.0687 0.0525 0.0
7.7 40000.0 -3.26 2.4687 0.2949 0.31 0.075 0.0541 0.0
7.7 50000.0 -3.25 2.3147 0.8116 0.2788 0.0905 0.0566 0.0012
7.7 45000.0 -3.25 2.4282 0.5562 0.2869 0.0848 0.0558 0.0
7.7 90000.0 -3.27 1.6269 1.8981 0.3072 0.0991 0.0512 0.053
7.7 80000.0 -3.26 1.7175 1.7782 0.2963 0.0998 0.0541 0.0309
7.7 70000.0 -3.26 1.8503 1.5822 0.2851 0.0996 0.0561 0.0149
7.7 60000.0 -3.25 2.0479 1.2754 0.2762 0.0973 0.0569 0.0054
7.7 55000.0 -3.25 2.1731 1.07 0.2744 0.0949 0.0569 0.0028
