#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -3.5 - -1.5, T*: 30 - 90 kK
# SED: Black-body
# Plane-parallel geometry
#
#12+log(O/H) Teff log(U) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_5876 He2_4686
7.7 90000.0 -2.5 0.7053 3.8581 0.1277 0.1176 0.0465 0.0618
7.7 30000.0 -2.25 2.7157 0.5177 0.1603 0.1036 0.0451 0.0
7.7 32500.0 -2.25 2.4991 0.966 0.1316 0.1138 0.0525 0.0
7.7 35000.0 -2.25 2.1888 1.4585 0.1117 0.1218 0.055 0.0
7.7 37500.0 -2.25 1.873 1.9297 0.1001 0.1277 0.0556 0.0
7.7 40000.0 -2.25 1.5955 2.3498 0.0929 0.1323 0.0558 0.0
7.7 45000.0 -2.25 1.1891 3.0212 0.0856 0.1381 0.056 0.0
7.7 50000.0 -2.25 0.9391 3.5097 0.0832 0.1403 0.0559 0.0017
7.7 55000.0 -2.25 0.7849 3.8668 0.0832 0.1395 0.0555 0.0038
7.7 60000.0 -2.25 0.687 4.1275 0.0842 0.1367 0.0548 0.0073
7.7 70000.0 -2.25 0.5794 4.4384 0.0874 0.128 0.0526 0.0198
7.7 80000.0 -2.25 0.5266 4.5194 0.0902 0.1185 0.0493 0.0406
7.7 90000.0 -2.25 0.4962 4.4076 0.092 0.11 0.045 0.0689
7.7 30000.0 -2.0 2.539 0.9071 0.1117 0.1156 0.0488 0.0
7.7 32500.0 -2.0 2.1601 1.5122 0.0903 0.125 0.0544 0.0
7.7 35000.0 -2.0 1.7721 2.0931 0.0775 0.1321 0.0555 0.0
7.7 37500.0 -2.0 1.4439 2.6018 0.0702 0.1374 0.0558 0.0
7.7 40000.0 -2.0 1.1892 3.0326 0.0658 0.1412 0.056 0.0
7.7 45000.0 -2.0 0.8552 3.703 0.0616 0.1449 0.0561 0.0
7.7 50000.0 -2.0 0.6671 4.1898 0.0606 0.144 0.0558 0.0021
7.7 55000.0 -2.0 0.5563 4.5482 0.0611 0.1398 0.0553 0.0046
7.7 60000.0 -2.0 0.4879 4.8093 0.0622 0.1336 0.0545 0.0088
7.7 70000.0 -2.0 0.4144 5.0892 0.0647 0.1197 0.0519 0.0236
7.7 80000.0 -2.0 0.379 5.0744 0.0666 0.1072 0.048 0.0478
7.7 90000.0 -2.0 0.3587 4.8104 0.0677 0.097 0.0431 0.0803
