#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -3.5 - -1.5, T*: 30 - 60 kK
# SED: WM-Basic (Pauldrach et al 2001) 
# Spherical geometry
#
#12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_5876 He2_4686
8.0 40000.0 -3.5 3.2463 0.3694 0.6197 0.1082 0.0564 0.0
8.0 45000.0 -3.5 3.5157 0.5996 0.6184 0.1263 0.0583 0.0
8.0 50000.0 -3.5 3.5145 0.8732 0.6544 0.1328 0.0593 0.0
8.0 55000.0 -3.5 3.9314 0.7548 0.617 0.145 0.0599 0.0
8.0 60000.0 -3.5 3.7461 1.1111 0.7103 0.1382 0.0593 0.0013
8.0 30000.0 -3.25 1.2575 0.0 0.4854 0.0172 0.0031 0.0
8.0 32500.0 -3.25 1.8714 0.0014 0.5863 0.0371 0.0085 0.0
8.0 35000.0 -3.25 2.4637 0.0162 0.5807 0.0662 0.0203 0.0
8.0 37500.0 -3.25 2.8984 0.1773 0.5114 0.0974 0.0471 0.0
8.0 40000.0 -3.25 3.1335 1.0199 0.4606 0.1416 0.0565 0.0
8.0 45000.0 -3.25 3.1928 1.5223 0.4525 0.1606 0.0579 0.0
8.0 50000.0 -3.25 3.0192 1.9969 0.4813 0.1668 0.0584 0.0011
8.0 55000.0 -3.25 3.4899 1.9109 0.4463 0.1808 0.0589 0.0
8.0 60000.0 -3.25 3.1445 2.4191 0.5284 0.1743 0.058 0.0015
8.0 32500.0 -3.01 2.1404 0.0046 0.5029 0.058 0.009 0.0
8.0 30000.0 -3.0 1.3724 0.0 0.4327 0.0288 0.0033 0.0
8.0 35000.0 -3.0 2.8423 0.0569 0.4638 0.0956 0.0215 0.0
8.0 37500.0 -3.0 3.0102 0.526 0.3793 0.1285 0.0494 0.0
8.0 40000.0 -3.0 2.5666 2.0757 0.3213 0.1708 0.0565 0.0
8.0 45000.0 -3.0 2.4934 2.7636 0.3193 0.1882 0.0575 0.0
8.0 50000.0 -3.0 2.2681 3.3565 0.3415 0.193 0.0577 0.0012
8.0 55000.0 -3.0 2.6906 3.3674 0.3181 0.2085 0.0582 0.0
8.0 60000.0 -3.0 2.3309 3.9475 0.3779 0.2024 0.057 0.0016
8.0 30000.0 -2.75 1.4118 0.0011 0.3475 0.0425 0.0037 0.0
8.0 32500.0 -2.75 2.3279 0.0174 0.3851 0.0813 0.01 0.0
8.0 35000.0 -2.75 3.0973 0.1804 0.3449 0.1233 0.0235 0.0
8.0 37500.0 -2.75 2.7925 1.1164 0.2703 0.1535 0.0514 0.0
8.0 40000.0 -2.75 2.0098 3.0956 0.2307 0.1902 0.0564 0.0
8.0 45000.0 -2.75 1.8922 3.9423 0.2311 0.2053 0.0572 0.0
8.0 50000.0 -2.75 1.6997 4.5817 0.2505 0.2048 0.0572 0.0014
8.0 55000.0 -2.75 2.0459 4.7092 0.2354 0.2237 0.0577 0.0
8.0 60000.0 -2.75 1.7546 5.2772 0.2816 0.2133 0.0563 0.0018
8.0 30000.0 -2.5 1.4039 0.0038 0.2669 0.0534 0.0045 0.0
8.0 32500.0 -2.5 2.3968 0.0506 0.291 0.0975 0.0117 0.0
8.0 35000.0 -2.5 3.1378 0.3997 0.2553 0.143 0.0267 0.0
8.0 37500.0 -2.5 2.4577 1.7484 0.1944 0.1707 0.053 0.0
8.0 40000.0 -2.5 1.5956 4.0099 0.1736 0.2006 0.0563 0.0
8.0 45000.0 -2.5 1.4981 4.9395 0.1795 0.2112 0.057 0.0
8.0 50000.0 -2.5 1.3477 5.6079 0.1984 0.2042 0.0568 0.0017
8.0 55000.0 -2.5 1.626 5.861 0.1869 0.2272 0.0573 0.0
8.0 60000.0 -2.5 1.3844 6.4366 0.2234 0.2114 0.0557 0.0022
8.0 30000.0 -2.25 1.3812 0.0115 0.2027 0.0608 0.0056 0.0
8.0 32500.0 -2.25 2.4064 0.114 0.2195 0.1088 0.014 0.0
8.0 35000.0 -2.25 3.0702 0.6747 0.1905 0.1569 0.0309 0.0
8.0 37500.0 -2.25 2.1341 2.3472 0.1445 0.1822 0.0538 0.0
8.0 40000.0 -2.25 1.3056 4.8247 0.139 0.2041 0.0561 0.0
8.0 45000.0 -2.25 1.2198 5.8536 0.1472 0.2104 0.0568 0.0
8.0 50000.0 -2.25 1.0972 6.5653 0.1645 0.1975 0.0564 0.0023
8.0 55000.0 -2.25 1.3225 6.9151 0.1558 0.2241 0.0571 0.0
8.0 60000.0 -2.25 1.1259 7.4642 0.1859 0.2039 0.0553 0.0028
8.0 30000.0 -2.0 1.3544 0.0282 0.1531 0.0657 0.0071 0.0
8.0 32500.0 -2.0 2.3813 0.2054 0.166 0.1167 0.017 0.0
8.0 35000.0 -2.0 2.9462 0.988 0.1443 0.1669 0.0358 0.0
8.0 37500.0 -2.0 1.8325 2.9316 0.1114 0.1897 0.0541 0.0
8.0 40000.0 -2.01 1.0915 5.5916 0.1169 0.2036 0.0559 0.0
8.0 45000.0 -2.0 1.0091 6.7453 0.1255 0.2057 0.0566 0.0
8.0 50000.0 -2.0 0.9129 7.4731 0.1416 0.1876 0.0561 0.0031
8.0 55000.0 -2.0 1.0937 7.9064 0.1345 0.2173 0.0568 0.0
8.0 60000.0 -2.0 0.9339 8.4175 0.1597 0.1938 0.0548 0.0037
8.0 30000.0 -1.75 1.324 0.0525 0.1165 0.0685 0.0088 0.0
8.0 32500.0 -1.75 2.3378 0.3144 0.1272 0.122 0.0203 0.0
8.0 35000.0 -1.75 2.7696 1.3454 0.1114 0.1741 0.0407 0.0
8.0 37500.0 -1.75 1.554 3.5227 0.0887 0.1945 0.0542 0.0
8.0 40000.0 -1.75 0.9151 6.4117 0.1008 0.1999 0.0556 0.0
8.0 45000.0 -1.75 0.8485 7.6271 0.1104 0.198 0.0563 0.0
8.0 50000.0 -1.75 0.773 8.3506 0.1252 0.1756 0.0556 0.0043
