#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 100 kK
# SED: black body 
#plane-parallel geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135	NII_6584	CIV_1549	CIII_1909
7.1 55000 -3.75 0.6380 0.0280 0.1299 0.0133 0.0222 0.0569 0.0161 0.0018 0.0000 0.0090 0.0274 0.0000 0.0302
7.1 55000 -3.50 0.7125 0.0858 0.1061 0.0186 0.0220 0.0564 0.0159 0.0023 0.0000 0.0104 0.0267 0.0000 0.0572
7.1 55000 -3.25 0.7153 0.2242 0.0820 0.0244 0.0218 0.0558 0.0157 0.0026 0.0000 0.0119 0.0228 0.0000 0.1011
7.1 55000 -3.00 0.6217 0.4545 0.0610 0.0300 0.0216 0.0552 0.0155 0.0028 0.0000 0.0133 0.0171 0.0013 0.1652
7.1 55000 -2.75 0.4778 0.7369 0.0442 0.0350 0.0213 0.0547 0.0153 0.0030 0.0000 0.0147 0.0119 0.0042 0.2539
7.1 55000 -2.50 0.3423 1.0265 0.0317 0.0390 0.0211 0.0542 0.0151 0.0033 0.0000 0.0158 0.0080 0.0118 0.3730
7.1 55000 -2.25 0.2402 1.3027 0.0230 0.0415 0.0209 0.0538 0.0150 0.0038 0.0000 0.0164 0.0055 0.0294 0.5235
7.1 55000 -2.00 0.1710 1.5614 0.0170 0.0422 0.0207 0.0535 0.0148 0.0046 0.0019 0.0164 0.0039 0.0674 0.7007
7.1 55000 -1.75 0.1253 1.8013 0.0131 0.0410 0.0205 0.0532 0.0147 0.0060 0.0032 0.0157 0.0029 0.1407 0.8931
7.1 55000 -1.50 0.0948 2.0197 0.0105 0.0380 0.0203 0.0528 0.0146 0.0081 0.0048 0.0143 0.0022 0.2664 1.0829
7.1 60000 -4.00 0.5468 0.0113 0.1537 0.0096 0.0230 0.0589 0.0167 0.0026 0.0000 0.0082 0.0266 0.0000 0.0173
7.1 60000 -3.75 0.6369 0.0370 0.1305 0.0139 0.0226 0.0579 0.0163 0.0036 0.0000 0.0094 0.0275 0.0000 0.0340
7.1 60000 -3.50 0.6954 0.1107 0.1055 0.0191 0.0222 0.0568 0.0160 0.0045 0.0000 0.0107 0.0261 0.0000 0.0632
7.1 60000 -3.25 0.6692 0.2731 0.0812 0.0248 0.0218 0.0558 0.0157 0.0051 0.0000 0.0121 0.0217 0.0000 0.1093
7.1 60000 -3.00 0.5563 0.5189 0.0603 0.0302 0.0215 0.0549 0.0154 0.0054 0.0000 0.0135 0.0160 0.0021 0.1760
7.1 60000 -2.75 0.4139 0.8004 0.0438 0.0349 0.0211 0.0542 0.0152 0.0057 0.0000 0.0147 0.0110 0.0069 0.2679
7.1 60000 -2.50 0.2912 1.0809 0.0315 0.0382 0.0209 0.0536 0.0149 0.0063 0.0000 0.0155 0.0074 0.0191 0.3898
7.1 60000 -2.25 0.2032 1.3481 0.0229 0.0398 0.0206 0.0530 0.0147 0.0072 0.0014 0.0158 0.0051 0.0483 0.5426
7.1 60000 -2.00 0.1449 1.6007 0.0170 0.0396 0.0203 0.0525 0.0145 0.0088 0.0025 0.0153 0.0036 0.1102 0.7201
7.1 60000 -1.75 0.1070 1.8351 0.0131 0.0374 0.0201 0.0520 0.0144 0.0113 0.0041 0.0142 0.0027 0.2256 0.9079
7.1 60000 -1.50 0.0819 2.0454 0.0105 0.0339 0.0197 0.0513 0.0141 0.0152 0.0059 0.0126 0.0021 0.4116 1.0848
