#Constrained by relation between 12+log(O/H), log(U) and log(C/O)
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 NeIII_3869      	 OIII_4363       	 OIII_5007      
7.0000000 	 -1.0250000 	 -4.0000000 	 38.6575000 	 0.0000000 	 0.0000000 	 0.9063000 	 0.0000000 	 0.0042000 	 0.0204000 	 0.0000000 	 0.0328000
7.0000000 	 -1.0250000 	 -3.7500000 	 38.7895000 	 0.0000000 	 0.0000000 	 1.3199000 	 0.0018000 	 0.0082000 	 0.0263000 	 0.0013000 	 0.0941000
7.0000000 	 -1.0250000 	 -3.5000000 	 33.9493000 	 0.0000000 	 0.0000000 	 1.7221000 	 0.0089000 	 0.0156000 	 0.0334000 	 0.0043000 	 0.2512000
7.0000000 	 -1.0250000 	 -3.2500000 	 24.4109000 	 0.0000000 	 0.0032000 	 1.9890000 	 0.0233000 	 0.0276000 	 0.0408000 	 0.0098000 	 0.4726000
7.0000000 	 -1.0250000 	 -3.0000000 	 15.1402000 	 0.0000000 	 0.0128000 	 2.1315000 	 0.0440000 	 0.0447000 	 0.0467000 	 0.0162000 	 0.6539000
7.0000000 	 -1.0250000 	 -2.7500000 	 9.9722000 	 0.0000000 	 0.0383000 	 2.2456000 	 0.0676000 	 0.0653000 	 0.0483000 	 0.0221000 	 0.7536000
7.0000000 	 -1.0250000 	 -2.5000000 	 6.8355000 	 0.0017000 	 0.0847000 	 2.3734000 	 0.0884000 	 0.0826000 	 0.0446000 	 0.0259000 	 0.7636000
7.0000000 	 -1.0250000 	 -2.2500000 	 5.0235000 	 0.0082000 	 0.1417000 	 2.5371000 	 0.0993000 	 0.0870000 	 0.0373000 	 0.0267000 	 0.6946000
7.0000000 	 -1.0250000 	 -2.0000000 	 3.9270000 	 0.0186000 	 0.1805000 	 2.7431000 	 0.0943000 	 0.0745000 	 0.0287000 	 0.0237000 	 0.5664000
7.0000000 	 -1.0250000 	 -1.7500000 	 3.3699000 	 0.0300000 	 0.1775000 	 2.9392000 	 0.0735000 	 0.0523000 	 0.0202000 	 0.0178000 	 0.4074000
7.0000000 	 -1.0250000 	 -1.5000000 	 2.7828000 	 0.0354000 	 0.1423000 	 3.0846000 	 0.0479000 	 0.0319000 	 0.0132000 	 0.0115000 	 0.2608000
7.0000000 	 -1.0250000 	 -1.2500000 	 2.5322000 	 0.0329000 	 0.0983000 	 3.1186000 	 0.0275000 	 0.0182000 	 0.0082000 	 0.0066000 	 0.1525000
7.0000000 	 -1.0250000 	 -1.0000000 	 2.3667000 	 0.0258000 	 0.0618000 	 3.0186000 	 0.0154000 	 0.0104000 	 0.0050000 	 0.0037000 	 0.0851000
7.0000000 	 -1.0250000 	 -0.7500000 	 1.3517000 	 0.0241000 	 0.0436000 	 2.7648000 	 0.0440000 	 0.0084000 	 0.0033000 	 0.0072000 	 0.0947000
7.0000000 	 -1.0250000 	 -0.5000000 	 0.9977000 	 0.0193000 	 0.0296000 	 2.6521000 	 0.0410000 	 0.0071000 	 0.0032000 	 0.0065000 	 0.0791000
7.0000000 	 -0.9000000 	 -4.0000000 	 38.6608000 	 0.0000000 	 0.0000000 	 0.9065000 	 0.0000000 	 0.0057000 	 0.0204000 	 0.0000000 	 0.0328000
7.0000000 	 -0.9000000 	 -3.7500000 	 38.7860000 	 0.0000000 	 0.0000000 	 1.3199000 	 0.0018000 	 0.0108000 	 0.0263000 	 0.0013000 	 0.0941000
7.0000000 	 -0.9000000 	 -3.5000000 	 34.7374000 	 0.0000000 	 0.0000000 	 1.6961000 	 0.0086000 	 0.0203000 	 0.0331000 	 0.0042000 	 0.2430000
7.0000000 	 -0.9000000 	 -3.2500000 	 24.4088000 	 0.0000000 	 0.0043000 	 1.9892000 	 0.0233000 	 0.0367000 	 0.0408000 	 0.0098000 	 0.4724000
7.0000000 	 -0.9000000 	 -3.0000000 	 15.1359000 	 0.0000000 	 0.0170000 	 2.1318000 	 0.0440000 	 0.0595000 	 0.0467000 	 0.0162000 	 0.6538000
7.0000000 	 -0.9000000 	 -2.7500000 	 10.1795000 	 0.0000000 	 0.0501000 	 2.2414000 	 0.0673000 	 0.0868000 	 0.0483000 	 0.0220000 	 0.7517000
7.0000000 	 -0.9000000 	 -2.5000000 	 6.8479000 	 0.0033000 	 0.1113000 	 2.3745000 	 0.0883000 	 0.1100000 	 0.0446000 	 0.0259000 	 0.7635000
7.0000000 	 -0.9000000 	 -2.2500000 	 5.2426000 	 0.0107000 	 0.1865000 	 2.5392000 	 0.0991000 	 0.1159000 	 0.0373000 	 0.0266000 	 0.6948000
7.0000000 	 -0.9000000 	 -2.0000000 	 3.7877000 	 0.0243000 	 0.2381000 	 2.7496000 	 0.0944000 	 0.0996000 	 0.0287000 	 0.0237000 	 0.5673000
7.0000000 	 -0.9000000 	 -1.7500000 	 3.3328000 	 0.0392000 	 0.2339000 	 2.9424000 	 0.0735000 	 0.0698000 	 0.0202000 	 0.0178000 	 0.4076000
7.0000000 	 -0.9000000 	 -1.5000000 	 2.8798000 	 0.0463000 	 0.1868000 	 3.0826000 	 0.0478000 	 0.0426000 	 0.0132000 	 0.0115000 	 0.2606000
7.0000000 	 -0.9000000 	 -1.2500000 	 2.5330000 	 0.0432000 	 0.1291000 	 3.1196000 	 0.0275000 	 0.0243000 	 0.0082000 	 0.0066000 	 0.1525000
7.0000000 	 -0.9000000 	 -1.0000000 	 2.3313000 	 0.0340000 	 0.0811000 	 3.0192000 	 0.0154000 	 0.0139000 	 0.0050000 	 0.0037000 	 0.0850000
7.0000000 	 -0.9000000 	 -0.7500000 	 1.2545000 	 0.0321000 	 0.0577000 	 2.7643000 	 0.0441000 	 0.0113000 	 0.0033000 	 0.0072000 	 0.0948000
7.0000000 	 -0.9000000 	 -0.5000000 	 1.1318000 	 0.0256000 	 0.0391000 	 2.6538000 	 0.0406000 	 0.0094000 	 0.0032000 	 0.0064000 	 0.0787000
7.1000000 	 -1.1500000 	 -4.0000000 	 38.2889000 	 0.0000000 	 0.0000000 	 0.9010000 	 0.0000000 	 0.0040000 	 0.0254000 	 0.0000000 	 0.0408000
7.1000000 	 -1.1500000 	 -3.7500000 	 38.6418000 	 0.0000000 	 0.0000000 	 1.3194000 	 0.0022000 	 0.0076000 	 0.0330000 	 0.0017000 	 0.1178000
7.1000000 	 -1.1500000 	 -3.5000000 	 33.9339000 	 0.0000000 	 0.0000000 	 1.7190000 	 0.0110000 	 0.0146000 	 0.0419000 	 0.0054000 	 0.3137000
7.1000000 	 -1.1500000 	 -3.2500000 	 24.3279000 	 0.0000000 	 0.0030000 	 1.9916000 	 0.0291000 	 0.0258000 	 0.0512000 	 0.0122000 	 0.5933000
7.1000000 	 -1.1500000 	 -3.0000000 	 15.1155000 	 0.0000000 	 0.0121000 	 2.1349000 	 0.0549000 	 0.0419000 	 0.0586000 	 0.0203000 	 0.8212000
7.1000000 	 -1.1500000 	 -2.7500000 	 10.0743000 	 0.0000000 	 0.0359000 	 2.2482000 	 0.0843000 	 0.0611000 	 0.0607000 	 0.0277000 	 0.9464000
7.1000000 	 -1.1500000 	 -2.5000000 	 7.0855000 	 0.0016000 	 0.0794000 	 2.3712000 	 0.1100000 	 0.0772000 	 0.0560000 	 0.0324000 	 0.9567000
7.1000000 	 -1.1500000 	 -2.2500000 	 4.9449000 	 0.0076000 	 0.1335000 	 2.5457000 	 0.1243000 	 0.0817000 	 0.0470000 	 0.0335000 	 0.8746000
7.1000000 	 -1.1500000 	 -2.0000000 	 3.8155000 	 0.0175000 	 0.1705000 	 2.7563000 	 0.1184000 	 0.0702000 	 0.0361000 	 0.0298000 	 0.7143000
7.1000000 	 -1.1500000 	 -1.7500000 	 3.1577000 	 0.0283000 	 0.1680000 	 2.9561000 	 0.0926000 	 0.0492000 	 0.0255000 	 0.0225000 	 0.5147000
7.1000000 	 -1.1500000 	 -1.5000000 	 2.8471000 	 0.0334000 	 0.1346000 	 3.0957000 	 0.0602000 	 0.0300000 	 0.0166000 	 0.0145000 	 0.3295000
7.1000000 	 -1.1500000 	 -1.2500000 	 2.5521000 	 0.0311000 	 0.0931000 	 3.1259000 	 0.0347000 	 0.0172000 	 0.0103000 	 0.0084000 	 0.1928000
7.1000000 	 -1.1500000 	 -1.0000000 	 2.3457000 	 0.0243000 	 0.0586000 	 3.0238000 	 0.0196000 	 0.0099000 	 0.0063000 	 0.0047000 	 0.1077000
7.1000000 	 -1.1500000 	 -0.7500000 	 1.2827000 	 0.0226000 	 0.0411000 	 2.7650000 	 0.0534000 	 0.0079000 	 0.0042000 	 0.0088000 	 0.1171000
7.1000000 	 -1.1500000 	 -0.5000000 	 0.9622000 	 0.0182000 	 0.0281000 	 2.6447000 	 0.0519000 	 0.0067000 	 0.0040000 	 0.0082000 	 0.1006000
7.1000000 	 -1.0250000 	 -4.0000000 	 38.5126000 	 0.0000000 	 0.0000000 	 0.9075000 	 0.0000000 	 0.0053000 	 0.0256000 	 0.0000000 	 0.0412000
7.1000000 	 -1.0250000 	 -3.7500000 	 38.6312000 	 0.0000000 	 0.0000000 	 1.3195000 	 0.0022000 	 0.0102000 	 0.0330000 	 0.0017000 	 0.1178000
7.1000000 	 -1.0250000 	 -3.5000000 	 33.9233000 	 0.0000000 	 0.0000000 	 1.7192000 	 0.0110000 	 0.0194000 	 0.0419000 	 0.0054000 	 0.3137000
7.1000000 	 -1.0250000 	 -3.2500000 	 24.3292000 	 0.0000000 	 0.0041000 	 1.9919000 	 0.0291000 	 0.0344000 	 0.0512000 	 0.0122000 	 0.5933000
7.1000000 	 -1.0250000 	 -3.0000000 	 15.1148000 	 0.0000000 	 0.0159000 	 2.1352000 	 0.0549000 	 0.0559000 	 0.0586000 	 0.0203000 	 0.8211000
7.1000000 	 -1.0250000 	 -2.7500000 	 9.9790000 	 0.0000000 	 0.0473000 	 2.2531000 	 0.0844000 	 0.0816000 	 0.0608000 	 0.0277000 	 0.9482000
7.1000000 	 -1.0250000 	 -2.5000000 	 6.9804000 	 0.0032000 	 0.1044000 	 2.3764000 	 0.1100000 	 0.1029000 	 0.0560000 	 0.0324000 	 0.9580000
7.1000000 	 -1.0250000 	 -2.2500000 	 4.9351000 	 0.0101000 	 0.1755000 	 2.5459000 	 0.1242000 	 0.1088000 	 0.0470000 	 0.0334000 	 0.8742000
7.1000000 	 -1.0250000 	 -2.0000000 	 3.8950000 	 0.0229000 	 0.2241000 	 2.7557000 	 0.1182000 	 0.0935000 	 0.0362000 	 0.0298000 	 0.7138000
7.1000000 	 -1.0250000 	 -1.7500000 	 3.3791000 	 0.0369000 	 0.2204000 	 2.9515000 	 0.0923000 	 0.0657000 	 0.0255000 	 0.0224000 	 0.5137000
7.1000000 	 -1.0250000 	 -1.5000000 	 2.8586000 	 0.0437000 	 0.1768000 	 3.0966000 	 0.0602000 	 0.0401000 	 0.0166000 	 0.0145000 	 0.3294000
7.1000000 	 -1.0250000 	 -1.2500000 	 2.5084000 	 0.0408000 	 0.1221000 	 3.1267000 	 0.0347000 	 0.0230000 	 0.0103000 	 0.0084000 	 0.1927000
7.1000000 	 -1.0250000 	 -1.0000000 	 2.2857000 	 0.0321000 	 0.0770000 	 3.0248000 	 0.0196000 	 0.0132000 	 0.0063000 	 0.0047000 	 0.1077000
7.1000000 	 -1.0250000 	 -0.7500000 	 1.2092000 	 0.0301000 	 0.0545000 	 2.7590000 	 0.0545000 	 0.0107000 	 0.0042000 	 0.0090000 	 0.1186000
7.1000000 	 -1.0250000 	 -0.5000000 	 1.0322000 	 0.0242000 	 0.0371000 	 2.6502000 	 0.0513000 	 0.0089000 	 0.0040000 	 0.0081000 	 0.0997000
7.1000000 	 -0.9000000 	 -4.0000000 	 38.2751000 	 0.0000000 	 0.0000000 	 0.9011000 	 0.0000000 	 0.0070000 	 0.0254000 	 0.0000000 	 0.0408000
7.1000000 	 -0.9000000 	 -3.7500000 	 38.6292000 	 0.0000000 	 0.0000000 	 1.3195000 	 0.0022000 	 0.0136000 	 0.0330000 	 0.0017000 	 0.1178000
7.1000000 	 -0.9000000 	 -3.5000000 	 33.9291000 	 0.0000000 	 0.0000000 	 1.7187000 	 0.0110000 	 0.0259000 	 0.0419000 	 0.0053000 	 0.3134000
7.1000000 	 -0.9000000 	 -3.2500000 	 24.3249000 	 0.0000000 	 0.0053000 	 1.9920000 	 0.0291000 	 0.0458000 	 0.0512000 	 0.0122000 	 0.5932000
7.1000000 	 -0.9000000 	 -3.0000000 	 15.1081000 	 0.0000000 	 0.0210000 	 2.1356000 	 0.0549000 	 0.0744000 	 0.0586000 	 0.0203000 	 0.8210000
