#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, f_abs: 0.01 - 1.0
# SED: BPASS v.2.1 (Eldridge et al 2017), alpha(IMF) = -1.35, M_up = 300, age = 4 Myr, Z_* = Z_g
# Spherical geometry
#
#12+log(O/H) f_abs log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 He2_4686
8.0 0.014 -3.97 2.2787 0.1064 0.4824 0.0524 0.013 0.0337 0.0014
8.0 1.000 -3.75 3.3864 0.2792 0.8569 0.0905 0.023 0.059 0.0
8.0 0.540 -3.71 3.5144 0.4326 0.6136 0.108 0.021 0.0536 0.0011
8.0 0.220 -3.69 3.5226 0.5336 0.5727 0.1134 0.0205 0.0525 0.0014
8.0 0.120 -3.68 3.5479 0.5503 0.5591 0.1137 0.0198 0.0508 0.0016
8.0 0.070 -3.68 3.7719 0.5841 0.5835 0.12 0.0204 0.0522 0.0019
8.0 0.041 -3.68 3.3487 0.5142 0.5092 0.1056 0.0177 0.0454 0.002
8.0 0.014 -3.68 2.487 0.3877 0.3739 0.0784 0.0131 0.0339 0.0023
8.0 1.000 -3.5 3.4811 0.8363 0.6794 0.125 0.0227 0.0583 0.0011
8.0 0.501 -3.44 3.272 1.3251 0.4356 0.1488 0.0211 0.054 0.0017
8.0 0.203 -3.4 3.1144 1.5762 0.3947 0.1539 0.0206 0.0528 0.0024
8.0 0.113 -3.39 3.1088 1.6218 0.382 0.1538 0.0199 0.051 0.0028
8.0 0.065 -3.38 3.3241 1.741 0.4002 0.1634 0.0206 0.0528 0.0033
8.0 0.038 -3.38 2.9104 1.5204 0.3435 0.1417 0.0176 0.0451 0.0036
8.0 0.013 -3.38 2.1131 1.1241 0.2473 0.1033 0.0129 0.0332 0.0039
8.0 1.000 -3.25 2.9977 1.933 0.5016 0.1599 0.0225 0.0575 0.0013
8.0 0.507 -3.15 2.1658 2.9263 0.2657 0.1851 0.0213 0.0545 0.0023
8.0 0.209 -3.08 1.801 3.337 0.2243 0.1887 0.0207 0.053 0.004
8.0 0.113 -3.06 1.7482 3.4514 0.213 0.189 0.02 0.0513 0.0051
8.0 0.054 -3.04 1.6671 3.3825 0.1978 0.1813 0.0186 0.0477 0.0062
8.0 0.020 -3.03 1.3787 2.8165 0.1596 0.1488 0.015 0.0386 0.0072
8.0 0.019 -3.03 1.4483 2.9491 0.1673 0.156 0.0155 0.0397 0.0073
8.0 1.000 -3.0 2.2525 3.2783 0.3551 0.1877 0.0222 0.0569 0.0014
8.0 0.512 -2.86 1.0493 4.5426 0.14 0.208 0.0214 0.0546 0.0027
8.0 0.199 -2.73 0.6957 4.986 0.1005 0.2082 0.0207 0.053 0.0062
8.0 0.125 -2.68 0.6545 5.1289 0.0933 0.2081 0.02 0.0513 0.0085
8.0 0.063 -2.64 0.6115 5.1851 0.0856 0.2048 0.0191 0.049 0.012
8.0 0.023 -2.61 0.5281 4.6683 0.072 0.1804 0.0162 0.0414 0.0153
8.0 0.014 -2.6 0.5298 4.7088 0.0717 0.1812 0.0161 0.0411 0.0172
8.0 1.000 -2.74 1.685 4.4937 0.2586 0.2013 0.022 0.0565 0.0016
8.0 0.512 -2.57 0.4941 5.7473 0.07 0.2095 0.0213 0.0545 0.0032
8.0 0.206 -2.38 0.2707 6.1951 0.0391 0.1979 0.0206 0.0526 0.0077
8.0 0.109 -2.27 0.2222 6.4306 0.0305 0.1911 0.0196 0.0503 0.0138
8.0 0.065 -2.21 0.1983 6.4537 0.0262 0.1833 0.0184 0.0472 0.0207
8.0 0.022 -2.13 0.1596 5.9168 0.0201 0.1599 0.0153 0.0392 0.0358
8.0 0.012 -2.11 0.1409 5.3709 0.0175 0.1435 0.0134 0.0344 0.0407
8.0 1.000 -2.49 1.317 5.5691 0.2007 0.202 0.0218 0.056 0.002
8.0 0.504 -2.3 0.2699 6.7578 0.037 0.1929 0.0212 0.0542 0.004
8.0 0.201 -2.06 0.1276 7.2188 0.015 0.1604 0.0203 0.052 0.0099
8.0 0.109 -1.91 0.0938 7.4679 0.0092 0.1409 0.0191 0.049 0.0181
8.0 0.050 -1.76 0.0697 7.4717 0.0057 0.1191 0.0168 0.0431 0.0375
8.0 0.020 -1.64 0.0506 6.649 0.0036 0.0948 0.0126 0.0322 0.0724
8.0 0.012 -1.6 0.0476 6.5461 0.0033 0.0917 0.0115 0.0294 0.0915
