12logOH 12logSH logU OII_3727 NeIII_3868 OIII_4363 OIII_5007 NII_5755 SIII_6312 NII_6584 SII_671731 OII_7325 SIII_9069
7.0000 6.0300 -3.5000 0.5018 0.0223 0.0019 0.1291 0.0000 0.0071 0.0198 0.3412 0.0129 0.0607
7.0000 5.8300 -3.5000 0.5040 0.0224 0.0019 0.1297 0.0000 0.0045 0.0199 0.2156 0.0130 0.0384
7.0000 5.6300 -3.5000 0.5053 0.0225 0.0019 0.1300 0.0000 0.0029 0.0199 0.1361 0.0130 0.0243
7.0000 5.4300 -3.5000 0.5062 0.0225 0.0019 0.1303 0.0000 0.0018 0.0199 0.0859 0.0130 0.0153
7.0000 5.2300 -3.5000 0.5067 0.0226 0.0019 0.1304 0.0000 0.0011 0.0199 0.0542 0.0130 0.0097
7.0000 5.0300 -3.5000 0.5071 0.0226 0.0019 0.1305 0.0000 0.0000 0.0199 0.0342 0.0131 0.0061
7.0000 4.8300 -3.5000 0.5073 0.0226 0.0019 0.1306 0.0000 0.0000 0.0199 0.0216 0.0131 0.0039
7.0000 6.0300 -3.2500 0.4478 0.0300 0.0047 0.2827 0.0000 0.0100 0.0159 0.2630 0.0123 0.0774
7.0000 5.8300 -3.2500 0.4497 0.0302 0.0048 0.2841 0.0000 0.0064 0.0160 0.1661 0.0124 0.0490
7.0000 5.6300 -3.2500 0.4508 0.0303 0.0048 0.2850 0.0000 0.0040 0.0160 0.1049 0.0124 0.0309
7.0000 5.4300 -3.2500 0.4515 0.0303 0.0048 0.2855 0.0000 0.0025 0.0160 0.0662 0.0124 0.0195
7.0000 5.2300 -3.2500 0.4520 0.0304 0.0048 0.2858 0.0000 0.0016 0.0160 0.0418 0.0124 0.0123
7.0000 5.0300 -3.2500 0.4523 0.0304 0.0048 0.2861 0.0000 0.0010 0.0160 0.0264 0.0124 0.0078
7.0000 4.8300 -3.2500 0.4525 0.0304 0.0048 0.2862 0.0000 0.0000 0.0160 0.0166 0.0124 0.0049
