#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, S/O: -0.6 - 0.6, log U: -4.0 - -1.5
# SED: POPSTAR, Chabrier IMF, age = 1 Myr
# Plane-parallel geometry
#
12logOH 12logSH logU OII_3727 NeIII_3868 OIII_4363 OIII_5007 NII_5755 SIII_6312 NII_6584 SII_671731 OII_7325 SIII_9069
7.0000 5.0300 -2.2500 0.0919 0.0751 0.0338 1.2133 0.0000 0.0024 0.0021 0.0041 0.0014 0.0123
7.0000 4.8300 -2.2500 0.0920 0.0751 0.0339 1.2137 0.0000 0.0015 0.0021 0.0026 0.0014 0.0077
7.0000 6.0300 -2.0000 0.0604 0.0864 0.0424 1.3835 0.0000 0.0236 0.0013 0.0276 0.0000 0.1142
7.0000 5.8300 -2.0000 0.0609 0.0869 0.0429 1.3896 0.0000 0.0150 0.0013 0.0176 0.0000 0.0723
7.0000 5.6300 -2.0000 0.0619 0.0871 0.0431 1.3916 0.0000 0.0095 0.0013 0.0113 0.0000 0.0457
7.0000 5.4300 -2.0000 0.0616 0.0874 0.0433 1.3964 0.0000 0.0060 0.0013 0.0070 0.0000 0.0289
7.0000 5.2300 -2.0000 0.0612 0.0877 0.0435 1.4005 0.0000 0.0038 0.0013 0.0044 0.0000 0.0182
7.0000 5.0300 -2.0000 0.0611 0.0879 0.0437 1.4032 0.0000 0.0024 0.0013 0.0028 0.0000 0.0115
7.0000 4.8300 -2.0000 0.0611 0.0880 0.0438 1.4057 0.0000 0.0015 0.0013 0.0000 0.0000 0.0073
7.0000 6.0300 -1.7500 0.0426 0.0989 0.0528 1.5596 0.0000 0.0224 0.0000 0.0197 0.0000 0.1018
7.0000 5.8300 -1.7500 0.0422 0.0997 0.0535 1.5698 0.0000 0.0143 0.0000 0.0123 0.0000 0.0645
7.0000 5.6300 -1.7500 0.0432 0.0999 0.0537 1.5712 0.0000 0.0090 0.0000 0.0079 0.0000 0.0407
7.0000 5.4300 -1.7500 0.0433 0.1001 0.0539 1.5742 0.0000 0.0057 0.0000 0.0051 0.0000 0.0257
7.0000 5.2300 -1.7500 0.0429 0.1004 0.0541 1.5779 0.0000 0.0036 0.0000 0.0032 0.0000 0.0163
7.0000 5.0300 -1.7500 0.0433 0.1004 0.0542 1.5778 0.0000 0.0023 0.0000 0.0011 0.0000 0.0103
7.0000 4.8300 -1.7500 0.0429 0.1005 0.0543 1.5804 0.0000 0.0014 0.0000 0.0000 0.0000 0.0065
7.0000 6.0300 -1.5000 0.0308 0.1117 0.0642 1.7323 0.0000 0.0203 0.0000 0.0144 0.0000 0.0871
7.0000 5.8300 -1.5000 0.0312 0.1122 0.0647 1.7387 0.0000 0.0129 0.0000 0.0092 0.0000 0.0552
7.0000 5.6300 -1.5000 0.0311 0.1127 0.0652 1.7452 0.0000 0.0082 0.0000 0.0058 0.0000 0.0349
7.0000 5.4300 -1.5000 0.0313 0.1129 0.0654 1.7478 0.0000 0.0052 0.0000 0.0037 0.0000 0.0220
7.0000 5.2300 -1.5000 0.0311 0.1132 0.0656 1.7510 0.0000 0.0033 0.0000 0.0013 0.0000 0.0139
7.0000 5.0300 -1.5000 0.0317 0.1131 0.0656 1.7487 0.0000 0.0021 0.0000 0.0000 0.0000 0.0088
7.0000 4.8300 -1.5000 0.0317 0.1131 0.0656 1.7497 0.0000 0.0013 0.0000 0.0000 0.0000 0.0055
7.1000 6.1300 -4.0000 0.5472 0.0101 0.0000 0.0258 0.0000 0.0044 0.0229 0.3875 0.0130 0.0427
7.1000 5.9300 -4.0000 0.5509 0.0101 0.0000 0.0260 0.0000 0.0028 0.0230 0.2453 0.0132 0.0270
7.1000 5.7300 -4.0000 0.5532 0.0102 0.0000 0.0261 0.0000 0.0018 0.0231 0.1551 0.0132 0.0171
7.1000 5.5300 -4.0000 0.5546 0.0102 0.0000 0.0261 0.0000 0.0011 0.0231 0.0980 0.0133 0.0108
7.1000 5.3300 -4.0000 0.5555 0.0102 0.0000 0.0262 0.0000 0.0000 0.0231 0.0619 0.0133 0.0068
7.1000 5.1300 -4.0000 0.5561 0.0102 0.0000 0.0262 0.0000 0.0000 0.0231 0.0390 0.0133 0.0043
7.1000 4.9300 -4.0000 0.5564 0.0103 0.0000 0.0262 0.0000 0.0000 0.0231 0.0246 0.0134 0.0027
7.1000 6.1300 -3.7500 0.6097 0.0167 0.0011 0.0816 0.0000 0.0071 0.0226 0.3171 0.0159 0.0615
7.1000 5.9300 -3.7500 0.6139 0.0168 0.0011 0.0821 0.0000 0.0045 0.0227 0.2007 0.0159 0.0390
7.1000 5.7300 -3.7500 0.6167 0.0169 0.0011 0.0824 0.0000 0.0028 0.0228 0.1269 0.0160 0.0246
7.1000 5.5300 -3.7500 0.6184 0.0169 0.0011 0.0826 0.0000 0.0018 0.0228 0.0802 0.0161 0.0156
7.1000 5.3300 -3.7500 0.6194 0.0169 0.0011 0.0827 0.0000 0.0011 0.0228 0.0506 0.0163 0.0098
7.1000 5.1300 -3.7500 0.6201 0.0170 0.0011 0.0828 0.0000 0.0000 0.0228 0.0320 0.0163 0.0062
