#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 90 kK
# SED: Black-body
# Plane-parallel geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeII_4686
7.4 30000 -2.75 1.7271 0.0799 0.1687 0.0428 0.0154 0.0394 0.0000
7.4 32500 -2.75 1.7528 0.1715 0.1440 0.0490 0.0187 0.0479 0.0000
7.4 35000 -2.75 1.7140 0.3000 0.1248 0.0539 0.0205 0.0524 0.0000
7.4 37500 -2.75 1.6259 0.4534 0.1119 0.0576 0.0211 0.0540 0.0000
7.4 40000 -2.75 1.5092 0.6165 0.1032 0.0604 0.0214 0.0547 0.0000
7.4 45000 -2.75 1.2611 0.9248 0.0929 0.0640 0.0216 0.0553 0.0000
7.4 50000 -2.75 1.0519 1.1724 0.0880 0.0660 0.0216 0.0554 0.0014
7.4 55000 -2.75 0.8963 1.3556 0.0859 0.0669 0.0215 0.0552 0.0030
7.4 60000 -2.75 0.7849 1.4866 0.0855 0.0669 0.0214 0.0548 0.0058
7.4 70000 -2.75 0.6479 1.6427 0.0869 0.0657 0.0207 0.0531 0.0159
7.4 80000 -2.75 0.5737 1.7113 0.0890 0.0635 0.0197 0.0505 0.0329
7.4 90000 -2.75 0.5291 1.7253 0.0908 0.0612 0.0183 0.0469 0.0565
7.4 30000 -2.50 1.8735 0.1859 0.1281 0.0536 0.0163 0.0418 0.0000
7.4 32500 -2.50 1.8053 0.3727 0.1062 0.0595 0.0195 0.0500 0.0000
7.4 35000 -2.50 1.6565 0.6025 0.0901 0.0642 0.0209 0.0536 0.0000
7.4 37500 -2.50 1.4730 0.8420 0.0801 0.0675 0.0213 0.0546 0.0000
7.4 40000 -2.50 1.2896 1.0675 0.0735 0.0700 0.0215 0.0550 0.0000
7.4 45000 -2.50 0.9853 1.4361 0.0661 0.0730 0.0216 0.0553 0.0000
7.4 50000 -2.50 0.7775 1.6954 0.0628 0.0742 0.0215 0.0552 0.0015
7.4 55000 -2.50 0.6418 1.8725 0.0616 0.0741 0.0214 0.0548 0.0033
7.4 60000 -2.50 0.5525 1.9923 0.0615 0.0731 0.0211 0.0542 0.0064
7.4 70000 -2.50 0.4509 2.1210 0.0626 0.0696 0.0204 0.0523 0.0172
7.4 80000 -2.50 0.3993 2.1510 0.0640 0.0655 0.0192 0.0493 0.0354
7.4 90000 -2.50 0.3693 2.1090 0.0650 0.0616 0.0177 0.0454 0.0606
7.4 30000 -2.25 1.9007 0.3796 0.0925 0.0631 0.0176 0.0451 0.0000
7.4 32500 -2.25 1.7028 0.6883 0.0750 0.0688 0.0204 0.0522 0.0000
7.4 35000 -2.25 1.4525 1.0121 0.0633 0.0730 0.0212 0.0544 0.0000
7.4 37500 -2.25 1.2130 1.3088 0.0563 0.0759 0.0214 0.0550 0.0000
7.4 40000 -2.25 1.0104 1.5617 0.0519 0.0780 0.0215 0.0552 0.0000
7.4 45000 -2.25 0.7240 1.9393 0.0471 0.0801 0.0215 0.0553 0.0000
7.4 50000 -2.25 0.5533 2.1891 0.0451 0.0800 0.0214 0.0550 0.0017
7.4 55000 -2.25 0.4501 2.3550 0.0445 0.0783 0.0212 0.0545 0.0038
7.4 60000 -2.25 0.3853 2.4644 0.0445 0.0757 0.0209 0.0538 0.0073
7.4 70000 -2.25 0.3147 2.5651 0.0454 0.0694 0.0200 0.0515 0.0196
