#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 60 kK
# SED: WM-Basic (Pauldrach et al 2001) 
#spherical geometry
#
#12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 He1_4471 He1_5876 He2_4686
7.4 37500 -2.29 1.1970 1.2575 0.0526 0.0737 0.0208 0.0535 0.0000
7.4 40000 -2.28 0.6839 2.0268 0.0437 0.0775 0.0212 0.0545 0.0000
7.4 45000 -2.28 0.5971 2.3198 0.0431 0.0781 0.0213 0.0548 0.0000
7.4 50000 -2.28 0.4512 2.5490 0.0462 0.0723 0.0212 0.0545 0.0015
7.4 55000 -2.28 0.4505 2.6838 0.0465 0.0729 0.0212 0.0547 0.0000
7.4 60000 -2.28 0.3653 2.7756 0.0543 0.0647 0.0205 0.0527 0.0027
7.4 30000 -2.03 0.7411 0.0193 0.0451 0.0251 0.0028 0.0072 0.0000
7.4 32500 -2.04 1.4565 0.1683 0.0581 0.0491 0.0082 0.0212 0.0000
7.4 35000 -2.04 1.5871 0.8299 0.0528 0.0711 0.0181 0.0466 0.0000
7.4 37500 -2.04 1.0152 1.5737 0.0407 0.0775 0.0209 0.0537 0.0000
7.4 40000 -2.03 0.5609 2.3508 0.0361 0.0785 0.0210 0.0542 0.0000
7.4 45000 -2.02 0.4855 2.6713 0.0362 0.0777 0.0212 0.0545 0.0000
7.4 50000 -2.06 0.3795 2.8268 0.0404 0.0703 0.0210 0.0540 0.0019
7.4 55000 -2.08 0.3835 2.9606 0.0412 0.0711 0.0210 0.0544 0.0000
7.4 60000 -2.09 0.3148 3.0184 0.0483 0.0621 0.0203 0.0521 0.0033
7.4 30000 -1.78 0.7172 0.0352 0.0335 0.0257 0.0034 0.0090 0.0000
7.4 32500 -1.79 1.4090 0.2552 0.0442 0.0513 0.0097 0.0250 0.0000
7.4 35000 -1.79 1.4230 1.0884 0.0404 0.0747 0.0194 0.0501 0.0000
7.4 37500 -1.79 0.8467 1.8780 0.0325 0.0798 0.0208 0.0538 0.0000
7.4 40000 -1.77 0.4588 2.6703 0.0305 0.0781 0.0209 0.0539 0.0000
7.4 45000 -1.77 0.3996 2.9937 0.0314 0.0758 0.0210 0.0541 0.0000
7.4 50000 -1.81 0.3121 3.1329 0.0352 0.0667 0.0207 0.0535 0.0027
7.4 55000 -1.77 0.3038 3.3489 0.0352 0.0669 0.0207 0.0537 0.0012
7.4 60000 -1.77 0.2498 3.3834 0.0406 0.0570 0.0199 0.0512 0.0048
7.4 30000 -1.53 0.6907 0.0562 0.0247 0.0260 0.0042 0.0109 0.0000
7.4 32500 -1.54 1.3378 0.3657 0.0336 0.0530 0.0112 0.0291 0.0000
7.4 35000 -1.54 1.2446 1.3603 0.0314 0.0775 0.0200 0.0518 0.0000
7.4 37500 -1.54 0.7046 2.1635 0.0268 0.0811 0.0207 0.0537 0.0000
7.4 40000 -1.52 0.3818 2.9629 0.0266 0.0764 0.0207 0.0535 0.0000
7.4 45000 -1.52 0.3334 3.2906 0.0280 0.0729 0.0207 0.0537 0.0000
7.4 50000 -1.52 0.2537 3.4525 0.0309 0.0616 0.0204 0.0527 0.0041
7.4 55000 -1.53 0.2558 3.6287 0.0316 0.0628 0.0205 0.0531 0.0017
7.4 60000 -1.52 0.2116 3.6396 0.0360 0.0526 0.0195 0.0503 0.0066
7.7 30000 -3.99 0.6936 0.0000 0.3300 0.0021 0.0000 0.0026 0.0000
7.7 32500 -3.99 0.9722 0.0000 0.4275 0.0050 0.0027 0.0069 0.0000
7.7 35000 -3.99 1.2339 0.0000 0.4853 0.0103 0.0062 0.0160 0.0000
7.7 37500 -3.99 1.4252 0.0033 0.4962 0.0176 0.0142 0.0364 0.0000
7.7 40000 -3.99 1.7123 0.0223 0.5198 0.0305 0.0213 0.0546 0.0000
7.7 45000 -4.00 1.8392 0.0349 0.5317 0.0364 0.0226 0.0580 0.0000
7.7 50000 -4.00 1.8900 0.0542 0.5580 0.0387 0.0237 0.0606 0.0000
7.7 55000 -4.00 1.9633 0.0426 0.5339 0.0434 0.0241 0.0617 0.0000
7.7 60000 -4.00 1.9795 0.0670 0.5910 0.0387 0.0243 0.0620 0.0000
7.7 30000 -3.74 0.8357 0.0000 0.3401 0.0038 0.0011 0.0028 0.0000
7.7 32500 -3.74 1.1680 0.0000 0.4309 0.0087 0.0030 0.0076 0.0000
7.7 35000 -3.74 1.4799 0.0013 0.4705 0.0174 0.0070 0.0180 0.0000
