#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -4.0 - -1.5 (O/H vs log U and vs N/O empirically constrained)
# SED: BPASS v.2.1, a = -1.35, M_up = 300 M_sun,, age = 1 Myr
# Plane-parallel geometry
#
#12+log(O/H) log(N/O) log(U) HI_4.05m HI_7.46m SIV_10.5m HI_12.4m NeII_12.8m NeIII_15.5m SIII_18.7m SIII_33.7m OIII_52m NIII_57m OIII_88m NII_121.8m NII_205m
8.30 -1.125 -2.50 0.0677 0.0205 0.2043 0.0075 0.0389 0.3663 0.3621 0.5464 1.1658 0.1771 1.3910 0.0087 0.0027
8.30 -1.250 -2.50 0.0676 0.0205 0.2047 0.0075 0.0388 0.3669 0.3629 0.5472 1.1678 0.1330 1.3934 0.0065 0.0020
8.30 -1.375 -2.50 0.0676 0.0205 0.2050 0.0075 0.0388 0.3675 0.3634 0.5478 1.1694 0.0999 1.3953 0.0049 0.0015
8.30 -1.125 -2.75 0.0680 0.0206 0.0982 0.0076 0.0606 0.3335 0.3523 0.5348 0.9484 0.1521 1.1516 0.0133 0.0041
8.30 -1.250 -2.75 0.0680 0.0206 0.0984 0.0076 0.0605 0.3342 0.3531 0.5358 0.9503 0.1143 1.1540 0.0100 0.0031
8.30 -1.375 -2.75 0.0679 0.0206 0.0986 0.0076 0.0605 0.3347 0.3537 0.5364 0.9517 0.0858 1.1557 0.0075 0.0023
8.30 -1.500 -2.75 0.0679 0.0206 0.0988 0.0076 0.0605 0.3351 0.3542 0.5369 0.9528 0.0644 1.1571 0.0056 0.0017
8.30 -1.000 -3.00 0.0685 0.0208 0.0415 0.0076 0.0911 0.2896 0.3257 0.4977 0.6717 0.1536 0.8249 0.0264 0.0081
8.30 -1.125 -3.00 0.0684 0.0207 0.0417 0.0076 0.0911 0.2906 0.3269 0.4991 0.6739 0.1155 0.8277 0.0198 0.0061
8.30 -1.250 -3.00 0.0683 0.0207 0.0418 0.0076 0.0911 0.2914 0.3278 0.5001 0.6756 0.0869 0.8298 0.0149 0.0046
8.30 -1.375 -3.00 0.0683 0.0207 0.0419 0.0076 0.0911 0.2920 0.3285 0.5009 0.6769 0.0653 0.8314 0.0112 0.0035
8.40 -1.000 -2.50 0.0692 0.0210 0.2130 0.0077 0.0566 0.4258 0.4330 0.6640 1.3610 0.2824 1.6092 0.0144 0.0044
8.40 -1.125 -2.50 0.0691 0.0210 0.2136 0.0077 0.0565 0.4270 0.4342 0.6654 1.3643 0.2123 1.6133 0.0108 0.0033
8.40 -1.250 -2.50 0.0690 0.0210 0.2141 0.0077 0.0564 0.4279 0.4351 0.6665 1.3668 0.1595 1.6164 0.0081 0.0025
8.40 -1.375 -2.50 0.0690 0.0210 0.2145 0.0077 0.0563 0.4286 0.4358 0.6673 1.3686 0.1197 1.6187 0.0061 0.0019
8.40 -1.250 -2.75 0.0693 0.0211 0.1015 0.0078 0.0866 0.3832 0.4215 0.6488 1.0936 0.1352 1.3209 0.0125 0.0038
8.40 -1.375 -2.75 0.0693 0.0211 0.1017 0.0077 0.0866 0.3839 0.4223 0.6497 1.0954 0.1016 1.3232 0.0094 0.0029
8.40 -1.500 -2.75 0.0693 0.0210 0.1019 0.0077 0.0865 0.3845 0.4229 0.6504 1.0968 0.0763 1.3249 0.0070 0.0022
8.40 -1.000 -3.00 0.0698 0.0212 0.0423 0.0078 0.1272 0.3242 0.3872 0.5996 0.7542 0.1782 0.9231 0.0327 0.0100
8.40 -1.125 -3.00 0.0697 0.0212 0.0425 0.0078 0.1271 0.3256 0.3888 0.6016 0.7570 0.1342 0.9267 0.0246 0.0075
8.40 -1.250 -3.00 0.0696 0.0212 0.0427 0.0078 0.1271 0.3267 0.3901 0.6031 0.7592 0.1009 0.9295 0.0185 0.0057
8.40 -1.375 -3.00 0.0696 0.0211 0.0428 0.0078 0.1271 0.3275 0.3910 0.6043 0.7609 0.0759 0.9316 0.0139 0.0043
8.50 -1.000 -2.50 0.0708 0.0216 0.2029 0.0079 0.0881 0.4806 0.5158 0.8035 1.5477 0.3336 1.8101 0.0180 0.0055
8.50 -1.125 -2.50 0.0708 0.0215 0.2037 0.0079 0.0879 0.4821 0.5174 0.8055 1.5520 0.2508 1.8153 0.0136 0.0041
8.50 -1.500 -2.50 0.0706 0.0215 0.2050 0.0079 0.0876 0.4848 0.5203 0.8089 1.5595 0.1063 1.8246 0.0057 0.0018
8.50 -1.000 -2.75 0.0711 0.0217 0.0944 0.0080 0.1309 0.4173 0.4952 0.7747 1.2014 0.2774 1.4408 0.0276 0.0084
8.50 -1.125 -2.75 0.0710 0.0216 0.0949 0.0080 0.1308 0.4190 0.4971 0.7772 1.2056 0.2088 1.4462 0.0208 0.0063
8.50 -1.250 -2.75 0.0710 0.0216 0.0952 0.0080 0.1307 0.4202 0.4986 0.7790 1.2087 0.1570 1.4501 0.0156 0.0047
8.50 -1.375 -2.75 0.0709 0.0216 0.0955 0.0080 0.1307 0.4212 0.4997 0.7803 1.2111 0.1179 1.4531 0.0117 0.0036
8.50 -1.500 -2.75 0.0709 0.0216 0.0957 0.0079 0.1306 0.4219 0.5005 0.7814 1.2129 0.0886 1.4554 0.0088 0.0027
8.50 -1.000 -3.00 0.0714 0.0218 0.0391 0.0080 0.1838 0.3420 0.4544 0.7139 0.8003 0.2011 0.9749 0.0402 0.0122
8.50 -1.125 -3.00 0.0713 0.0217 0.0394 0.0080 0.1839 0.3437 0.4566 0.7167 0.8038 0.1516 0.9794 0.0303 0.0092
8.50 -1.500 -3.00 0.0711 0.0217 0.0398 0.0080 0.1840 0.3467 0.4606 0.7218 0.8102 0.0645 0.9876 0.0129 0.0039
8.60 -0.750 -2.50 0.0729 0.0223 0.1699 0.0082 0.1470 0.5084 0.6051 0.9595 1.6721 0.6789 1.9305 0.0408 0.0122
8.60 -0.875 -2.50 0.0728 0.0222 0.1714 0.0082 0.1465 0.5122 0.6091 0.9646 1.6825 0.5124 1.9434 0.0308 0.0092
