#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -4.0 - -1.5 (O/H vs log U empirically constrained)
# SED: BPASS v.2.1, a = -1.35, M_up = 300 M_sun,, age = 1 Myr
# Plane-parallel geometry
#
#12+log(O/H) log(N/O) log(U) HI_4.05m HI_7.46m SIV_10.5m HI_12.4m NeII_12.8m NeIII_15.5m SIII_18.7m SIII_33.7m OIII_52m NIII_57m OIII_88m NII_121.8m NII_205m
7.10 0.000 -2.25 0.0591 0.0175 0.0460 0.0064 0.0012 0.0311 0.0257 0.0350 0.1079 0.1761 0.1311 0.0051 0.0016
7.10 -0.125 -2.25 0.0588 0.0174 0.0460 0.0064 0.0012 0.0312 0.0258 0.0351 0.1084 0.1322 0.1316 0.0038 0.0012
7.10 -0.500 -2.25 0.0587 0.0173 0.0459 0.0064 0.0012 0.0312 0.0258 0.0351 0.1085 0.0558 0.1317 0.0016 0.0000
7.10 -0.625 -2.25 0.0587 0.0173 0.0459 0.0064 0.0012 0.0312 0.0258 0.0351 0.1085 0.0418 0.1317 0.0012 0.0000
7.10 -0.750 -2.25 0.0587 0.0173 0.0459 0.0064 0.0012 0.0312 0.0258 0.0351 0.1085 0.0314 0.1317 0.0015 0.0000
7.10 -0.875 -2.25 0.0587 0.0173 0.0459 0.0064 0.0012 0.0312 0.0258 0.0351 0.1085 0.0235 0.1317 0.0011 0.0000
7.10 -1.000 -2.25 0.0587 0.0173 0.0459 0.0064 0.0012 0.0312 0.0258 0.0351 0.1085 0.0176 0.1317 0.0000 0.0000
7.10 -1.125 -2.25 0.0587 0.0173 0.0459 0.0064 0.0012 0.0312 0.0258 0.0351 0.1085 0.0132 0.1317 0.0000 0.0000
7.10 -1.250 -2.25 0.0587 0.0173 0.0459 0.0064 0.0012 0.0312 0.0258 0.0351 0.1085 0.0099 0.1317 0.0000 0.0000
7.10 -1.375 -2.25 0.0587 0.0173 0.0459 0.0064 0.0012 0.0312 0.0258 0.0351 0.1085 0.0074 0.1317 0.0000 0.0000
7.10 -1.500 -2.25 0.0587 0.0173 0.0459 0.0064 0.0012 0.0312 0.0258 0.0351 0.1085 0.0056 0.1317 0.0000 0.0000
7.10 -1.750 -2.25 0.0587 0.0173 0.0459 0.0064 0.0012 0.0312 0.0258 0.0351 0.1085 0.0031 0.1317 0.0000 0.0000
7.10 -1.875 -2.25 0.0587 0.0173 0.0459 0.0064 0.0012 0.0312 0.0258 0.0351 0.1085 0.0024 0.1317 0.0000 0.0000
7.10 -2.000 -2.25 0.0587 0.0173 0.0459 0.0064 0.0012 0.0312 0.0258 0.0351 0.1085 0.0018 0.1317 0.0000 0.0000
